Name,Date,Open,High,Low,Close,Volume
BIK,20161208,17.80,17.80,17.60,17.75,1505
BIK,20161209,17.75,18.00,17.70,18.00,98
BIK,20161212,18.00,18.00,18.00,18.00,2
BIK,20161213,18.00,18.00,17.77,17.77,205
BIK,20161214,17.40,17.40,17.40,17.40,300
BIK,20161215,17.00,18.00,17.00,18.00,4734
BIK,20161219,17.56,17.90,17.50,17.80,6932
BIK,20161220,17.80,17.80,17.80,17.80,255
BIK,20161221,17.77,18.00,17.41,18.00,2048
BIK,20161223,17.95,18.05,17.41,18.05,2097
BIK,20161227,18.00,18.00,18.00,18.00,5
BIK,20161228,17.99,17.99,17.99,17.99,5
BIK,20161229,17.99,17.99,17.99,17.99,5
BIK,20170102,18.00,18.00,17.99,17.99,30
BIK,20170103,17.97,18.00,17.97,18.00,1005
BIK,20170105,17.45,17.95,17.45,17.95,35
BIK,20170110,17.80,17.80,17.80,17.80,65
BIK,20170111,17.50,18.00,16.60,17.92,3547
BIK,20170112,17.40,17.88,17.40,17.88,1182
BIK,20170113,17.87,17.87,17.40,17.85,1108
BIK,20170116,17.12,17.83,17.12,17.83,610
BIK,20170117,17.85,17.85,17.85,17.85,2
BIK,20170118,17.83,17.85,17.78,17.78,272
BIK,20170119,17.25,17.26,17.11,17.11,974
BIK,20170120,17.69,17.69,17.69,17.69,2
BIK,20170123,17.13,17.13,17.12,17.12,90
BIK,20170124,17.17,17.17,17.10,17.10,553
BIK,20170125,17.40,17.40,17.40,17.40,127
BIK,20170126,17.11,17.85,17.11,17.77,1074
BIK,20170127,17.77,17.77,17.40,17.73,1105
BIK,20170130,17.67,17.67,17.10,17.67,1937
BIK,20170131,17.67,17.67,16.90,16.90,505
BIK,20170201,17.00,17.00,16.90,16.90,623
BIK,20170203,16.60,16.60,15.50,16.30,1857
BIK,20170206,15.81,16.00,15.75,16.00,1195
BIK,20170208,16.00,16.00,16.00,16.00,20
BIK,20170213,16.00,16.00,16.00,16.00,509
BIK,20170216,15.93,16.00,15.85,15.85,885
BIK,20170217,15.75,15.75,15.75,15.75,490
BIK,20170220,15.50,15.75,15.25,15.75,590
BIK,20170221,15.50,15.50,15.50,15.50,127
BIK,20170222,15.90,16.55,15.90,16.55,656
BIK,20170223,16.20,16.20,15.46,16.20,519
BIK,20170224,16.01,16.01,16.01,16.01,75
