Name,Date,Open,High,Low,Close,Volume
CLNPHARMA,20161201,22.30,22.38,21.65,22.28,14541
CLNPHARMA,20161202,22.30,22.35,22.10,22.29,15820
CLNPHARMA,20161205,22.30,22.80,22.30,22.74,92446
CLNPHARMA,20161206,22.87,23.90,22.81,23.51,52723
CLNPHARMA,20161207,23.85,25.20,23.85,24.65,82999
CLNPHARMA,20161208,25.00,25.00,24.30,24.60,58989
CLNPHARMA,20161209,24.96,24.96,24.00,24.59,42691
CLNPHARMA,20161212,24.70,24.96,23.90,23.95,22533
CLNPHARMA,20161213,24.35,24.40,23.95,24.30,28613
CLNPHARMA,20161214,24.40,24.50,24.02,24.20,15563
CLNPHARMA,20161215,24.05,24.70,24.04,24.55,35386
CLNPHARMA,20161216,24.56,24.88,24.40,24.69,26344
CLNPHARMA,20161219,24.62,24.70,24.21,24.41,22557
CLNPHARMA,20161220,24.42,24.50,24.37,24.41,16260
CLNPHARMA,20161221,24.45,25.00,24.25,24.75,66056
CLNPHARMA,20161222,24.80,24.80,24.10,24.58,38390
CLNPHARMA,20161223,24.58,25.00,24.58,24.89,21211
CLNPHARMA,20161227,24.90,24.98,24.80,24.95,35186
CLNPHARMA,20161228,24.97,24.97,24.61,24.76,33365
CLNPHARMA,20161229,24.87,24.89,24.63,24.80,25531
CLNPHARMA,20161230,24.80,24.80,24.51,24.51,34577
CLNPHARMA,20170102,24.99,26.49,24.47,24.47,18712
CLNPHARMA,20170103,24.70,25.59,24.70,25.58,170040
CLNPHARMA,20170104,25.57,25.58,25.16,25.42,52634
CLNPHARMA,20170105,25.50,25.90,25.50,25.87,27359
CLNPHARMA,20170109,25.87,25.90,25.69,25.90,23279
CLNPHARMA,20170110,25.80,25.90,25.69,25.70,37824
CLNPHARMA,20170111,25.90,25.90,25.75,25.88,17763
CLNPHARMA,20170112,25.88,25.88,25.51,25.66,37920
CLNPHARMA,20170113,25.52,25.88,25.15,25.44,15091
CLNPHARMA,20170116,25.30,25.30,24.28,25.20,61517
CLNPHARMA,20170117,25.19,25.19,24.83,25.19,13663
CLNPHARMA,20170118,25.18,25.90,25.15,25.79,37347
CLNPHARMA,20170119,25.78,27.44,25.55,27.05,49474
CLNPHARMA,20170120,27.38,28.90,26.89,28.11,137943
CLNPHARMA,20170123,28.25,29.40,28.11,28.99,147076
CLNPHARMA,20170124,29.49,32.00,29.20,31.95,221063
CLNPHARMA,20170125,31.70,32.64,31.18,31.55,135899
CLNPHARMA,20170126,31.98,31.98,30.11,31.00,50404
CLNPHARMA,20170127,30.90,31.40,29.82,31.40,32151
CLNPHARMA,20170130,31.40,33.90,31.40,33.39,110507
CLNPHARMA,20170131,33.50,33.70,33.05,33.70,27214
CLNPHARMA,20170201,33.79,33.90,33.00,33.30,36824
CLNPHARMA,20170202,33.60,33.63,32.50,32.87,260761
CLNPHARMA,20170203,32.80,32.98,30.60,30.85,144816
CLNPHARMA,20170206,30.50,30.80,29.30,30.50,87805
CLNPHARMA,20170207,30.50,30.80,30.00,30.38,38370
CLNPHARMA,20170208,30.60,32.15,30.60,31.45,49630
CLNPHARMA,20170209,31.98,32.25,30.66,30.75,51147
CLNPHARMA,20170210,31.00,31.00,30.00,30.41,30388
CLNPHARMA,20170213,30.41,30.59,29.50,30.20,88820
CLNPHARMA,20170214,30.49,30.98,29.52,30.49,20686
CLNPHARMA,20170215,30.49,31.49,30.49,31.35,24647
CLNPHARMA,20170216,31.49,32.35,31.49,32.28,64058
CLNPHARMA,20170217,32.28,32.28,31.00,31.58,21810
CLNPHARMA,20170220,31.98,32.08,30.95,31.25,10113
CLNPHARMA,20170221,31.25,31.90,30.12,30.49,40393
CLNPHARMA,20170222,30.87,30.90,30.11,30.47,30578
CLNPHARMA,20170223,30.47,31.79,30.20,31.69,45543
CLNPHARMA,20170224,31.66,31.70,30.88,31.00,27541
CLNPHARMA,20170227,31.10,32.18,31.10,31.70,29402
CLNPHARMA,20170228,31.80,32.20,31.44,31.62,70201
CLNPHARMA,20170301,32.00,33.10,31.31,33.10,115094
CLNPHARMA,20170302,33.45,33.93,33.35,33.80,48061
CLNPHARMA,20170303,33.90,33.90,33.00,33.75,26682
CLNPHARMA,20170306,33.80,34.40,33.41,34.30,42782
CLNPHARMA,20170307,34.40,34.40,32.30,33.99,58699
CLNPHARMA,20170308,33.10,33.99,32.96,33.99,16412
CLNPHARMA,20170309,33.80,34.00,33.00,33.75,12355
CLNPHARMA,20170310,33.50,33.98,33.02,33.89,19744
CLNPHARMA,20170313,33.95,34.90,33.85,34.75,40700
CLNPHARMA,20170314,34.84,34.90,34.58,34.90,16738
CLNPHARMA,20170315,34.90,35.85,34.28,34.40,66491
CLNPHARMA,20170316,34.79,35.43,34.50,34.55,31163
CLNPHARMA,20170317,34.83,35.08,34.40,34.80,23822
CLNPHARMA,20170320,34.84,36.35,34.40,36.26,103913
CLNPHARMA,20170321,36.26,37.88,36.26,36.60,100891
CLNPHARMA,20170322,36.45,36.50,35.29,36.29,40372
CLNPHARMA,20170323,36.07,38.70,36.00,38.00,61191
CLNPHARMA,20170324,38.67,38.84,37.70,38.10,35371
CLNPHARMA,20170327,38.00,38.00,36.57,37.68,22149
CLNPHARMA,20170328,37.90,39.66,37.60,39.40,44905
