Name,Date,Open,High,Low,Close,Volume
DBSTXE1019,20160726,85.70,85.70,85.70,85.70,500
DBSTXE1019,20161014,87.15,87.15,87.15,87.15,200
DBSTXE1019,20161021,88.50,88.50,88.50,88.50,200
DBSTXE1019,20161122,88.15,88.15,88.15,88.15,290
DBSTXE1019,20161125,87.45,87.45,87.45,87.45,278
DBSTXE1019,20161219,94.05,94.05,94.05,94.05,2000
DBSTXE1019,20170308,98.60,98.60,98.60,98.60,1000
DBSTXE1019,20170310,99.90,99.90,99.90,99.90,1000
DBSTXE1019,20170321,100.60,100.60,100.60,100.60,2400
DBSTXE1019,20170405,101.60,101.60,101.60,101.60,222
DBSTXE1019,20170418,100.40,100.40,100.40,100.40,251
DBSTXE1019,20170508,106.40,106.40,106.40,106.40,198
DBSTXE1019,20170515,106.40,106.40,106.40,106.40,1060
DBSTXE1019,20170519,105.40,105.40,105.40,105.40,1000
DBSTXE1019,20170524,106.00,106.00,106.00,106.00,198
