Name,Date,Open,High,Low,Close,Volume
DBW20S0817,20131204,97.58,97.58,97.58,97.58,300
DBW20S0817,20140228,99.15,99.15,99.15,99.15,500
DBW20S0817,20140317,94.90,95.19,94.90,95.19,3450
DBW20S0817,20140429,100.69,100.69,100.69,100.69,256
DBW20S0817,20140605,102.52,102.52,102.52,102.52,350
DBW20S0817,20140703,100.95,100.95,100.95,100.95,193
DBW20S0817,20140723,103.95,103.95,103.95,103.95,100
DBW20S0817,20140731,104.34,104.34,104.34,104.34,2000
DBW20S0817,20140825,99.89,99.89,99.89,99.89,296
DBW20S0817,20140904,101.67,101.67,101.67,101.67,1258
DBW20S0817,20140910,102.33,102.34,102.33,102.34,297
DBW20S0817,20140916,102.01,102.12,102.01,102.11,6800
DBW20S0817,20140923,102.41,102.41,102.41,102.41,538
DBW20S0817,20141009,101.12,101.12,101.12,101.12,100
DBW20S0817,20141023,101.17,101.17,101.17,101.17,986
DBW20S0817,20141124,102.15,102.15,102.15,102.15,1000
DBW20S0817,20141127,105.04,105.04,105.04,105.04,1500
DBW20S0817,20150113,103.26,103.26,103.26,103.26,200
DBW20S0817,20150116,99.98,99.98,99.98,99.98,103
DBW20S0817,20150130,103.35,103.35,103.35,103.35,500
DBW20S0817,20150205,102.72,102.72,102.72,102.72,1000
DBW20S0817,20150223,104.20,104.20,104.20,104.20,103
DBW20S0817,20150309,104.42,104.42,104.42,104.42,380
DBW20S0817,20150319,105.94,105.95,105.67,105.67,10000
DBW20S0817,20150331,107.51,107.51,107.51,107.51,710
DBW20S0817,20150408,109.02,109.02,109.02,109.02,300
DBW20S0817,20150414,109.16,109.16,109.16,109.16,595
DBW20S0817,20150420,110.65,110.65,110.65,110.65,600
DBW20S0817,20150421,111.74,111.74,111.56,111.56,1945
DBW20S0817,20150422,111.01,111.13,111.01,111.13,700
DBW20S0817,20150513,111.70,111.70,111.70,111.70,2007
DBW20S0817,20150514,111.41,111.41,111.41,111.41,579
DBW20S0817,20150519,111.82,111.82,111.72,111.72,1940
DBW20S0817,20150521,111.48,111.48,111.48,111.48,100
DBW20S0817,20150526,110.89,110.89,110.89,110.89,1000
DBW20S0817,20150609,107.75,107.75,107.75,107.75,237
DBW20S0817,20150611,108.71,108.71,108.71,108.71,300
DBW20S0817,20150616,108.33,108.33,108.33,108.33,100
DBW20S0817,20150626,108.56,108.56,108.56,108.56,400
DBW20S0817,20150820,100.06,100.06,100.06,100.06,20
DBW20S0817,20150828,96.34,96.34,96.34,96.34,20
DBW20S0817,20150908,96.88,96.88,96.88,96.88,40
DBW20S0817,20150914,98.44,98.44,98.44,98.44,40
DBW20S0817,20150915,98.79,98.79,98.79,98.79,20
DBW20S0817,20151005,95.92,95.92,95.92,95.92,300
DBW20S0817,20151020,97.41,97.41,97.41,97.41,400
DBW20S0817,20151021,97.31,97.31,97.31,97.31,70
DBW20S0817,20151208,82.23,82.23,82.23,82.23,5000
DBW20S0817,20170104,95.55,95.55,95.55,95.55,2000
DBW20S0817,20170213,102.70,102.70,102.70,102.70,100
DBW20S0817,20170215,102.70,102.70,102.70,102.70,500
DBW20S0817,20170216,103.50,104.00,103.50,104.00,500
DBW20S0817,20170217,104.00,104.00,103.60,103.60,1500
DBW20S0817,20170221,104.20,104.20,104.20,104.20,200
DBW20S0817,20170222,105.90,105.90,105.90,105.90,500
DBW20S0817,20170223,106.40,106.50,106.40,106.50,300
DBW20S0817,20170224,105.40,105.40,105.40,105.40,500
DBW20S0817,20170301,104.80,104.80,104.80,104.80,100
DBW20S0817,20170302,106.30,106.30,106.30,106.30,500
DBW20S0817,20170316,107.10,107.10,107.10,107.10,5000
DBW20S0817,20170321,108.00,108.00,107.40,107.40,5649
DBW20S0817,20170420,108.30,108.30,108.30,108.30,3217
DBW20S0817,20170712,112.60,112.60,112.60,112.60,600
DBW20S0817,20170714,113.60,115.00,113.60,115.00,1044
DBW20S0817,20170718,118.80,119.00,118.80,119.00,2048
DBW20S0817,20170720,118.50,118.50,118.50,118.50,1000
