Name,Date,Open,High,Low,Close,Volume
DINOPL,20170419,36.15,37.88,36.15,37.50,10267297
DINOPL,20170420,37.45,38.20,37.20,38.00,1361524
DINOPL,20170421,38.14,39.50,38.08,39.19,1513875
DINOPL,20170424,39.50,39.50,38.60,39.36,664260
DINOPL,20170425,38.86,39.94,38.72,39.15,920443
DINOPL,20170426,39.20,39.46,37.51,38.69,472193
DINOPL,20170427,38.69,38.69,38.18,38.55,66596
DINOPL,20170428,38.69,38.76,37.77,38.76,181393
DINOPL,20170502,38.55,38.70,38.08,38.70,45397
DINOPL,20170504,39.00,39.48,38.70,38.80,168665
DINOPL,20170505,38.99,39.30,38.81,38.84,127879
DINOPL,20170508,39.00,39.35,37.95,39.01,146641
DINOPL,20170509,39.03,39.33,38.21,38.60,85999
DINOPL,20170510,38.50,38.50,38.05,38.40,71885
DINOPL,20170511,38.40,38.40,37.60,38.00,246320
DINOPL,20170512,38.00,38.79,37.79,38.79,98143
DINOPL,20170515,38.50,39.15,38.50,39.00,481057
DINOPL,20170516,39.00,39.28,38.87,38.98,190881
DINOPL,20170517,38.75,39.00,38.30,38.71,24182
DINOPL,20170518,38.31,38.59,37.76,38.23,39541
DINOPL,20170519,38.05,39.95,38.05,39.80,233673
DINOPL,20170522,39.79,40.56,39.30,40.50,250581
DINOPL,20170523,40.65,40.65,40.00,40.35,134415
DINOPL,20170524,41.00,42.03,40.35,41.48,581839
DINOPL,20170525,41.53,41.53,40.36,40.83,267990
DINOPL,20170526,40.75,41.50,40.75,41.45,126791
DINOPL,20170529,41.38,41.50,41.24,41.48,5600
DINOPL,20170530,41.69,41.69,40.65,40.65,143936
DINOPL,20170531,40.70,41.13,40.70,41.13,239122
DINOPL,20170601,41.29,43.18,41.29,43.01,182903
DINOPL,20170602,43.70,46.22,43.70,45.00,457453
DINOPL,20170605,45.00,45.80,43.92,45.00,89875
DINOPL,20170606,44.60,44.70,44.23,44.49,46305
DINOPL,20170607,44.71,45.00,43.95,44.39,76436
DINOPL,20170608,44.68,44.68,43.50,43.76,193194
DINOPL,20170609,43.99,44.00,43.70,43.85,8917
DINOPL,20170612,44.00,44.14,43.21,43.88,13507
DINOPL,20170613,43.88,43.90,43.60,43.85,8015
DINOPL,20170614,44.05,44.05,43.35,43.35,271799
DINOPL,20170616,43.35,44.00,43.10,43.75,203057
DINOPL,20170619,44.99,45.30,44.56,44.90,543931
DINOPL,20170620,45.17,45.60,45.17,45.31,84724
DINOPL,20170621,45.95,45.95,45.19,45.19,28979
DINOPL,20170622,45.19,45.19,45.00,45.10,655945
DINOPL,20170623,45.50,45.79,45.12,45.48,56530
DINOPL,20170626,45.79,45.93,45.51,45.80,99575
DINOPL,20170627,45.80,45.80,45.40,45.40,13291
DINOPL,20170628,45.40,45.60,45.00,45.60,21496
DINOPL,20170629,45.90,46.00,45.80,46.00,68021
DINOPL,20170630,45.85,46.89,45.83,46.89,121770
DINOPL,20170703,47.13,47.32,46.52,47.10,13975
DINOPL,20170704,47.10,47.75,46.83,46.97,139571
DINOPL,20170705,47.30,47.30,45.25,46.50,41905
DINOPL,20170706,46.12,47.00,46.00,47.00,7936
DINOPL,20170707,47.20,47.78,46.03,46.20,242915
DINOPL,20170710,46.20,47.20,46.20,47.20,462388
DINOPL,20170711,47.20,47.20,47.00,47.15,90492
DINOPL,20170712,47.16,48.46,47.15,48.24,268872
DINOPL,20170713,48.25,48.30,47.53,48.30,308413
DINOPL,20170714,48.30,48.49,47.70,48.20,88014
DINOPL,20170717,46.11,50.20,46.11,48.41,225916
DINOPL,20170718,48.45,49.20,48.10,48.50,66410
DINOPL,20170719,49.80,49.90,47.15,48.90,500600
DINOPL,20170720,48.94,50.29,48.89,50.00,117036
DINOPL,20170721,50.00,51.44,49.90,50.04,285341
