Name,Date,Open,High,Low,Close,Volume
GPRE,20170413,5.70,5.78,5.62,5.70,2407498
GPRE,20170418,5.70,5.71,5.65,5.70,324156
GPRE,20170419,5.70,5.70,5.63,5.65,174431
GPRE,20170420,5.65,5.65,5.45,5.60,428223
GPRE,20170421,5.59,5.59,5.45,5.50,160161
GPRE,20170424,5.45,5.50,5.31,5.50,412268
GPRE,20170425,5.50,5.63,5.45,5.50,350361
GPRE,20170426,5.50,5.50,5.43,5.50,334534
GPRE,20170427,5.53,5.53,5.45,5.50,88322
GPRE,20170428,5.46,5.54,5.46,5.52,63349
GPRE,20170502,5.54,5.55,5.43,5.55,179728
GPRE,20170504,5.55,5.55,5.41,5.49,260268
GPRE,20170505,5.49,5.49,5.41,5.46,818315
GPRE,20170508,5.41,5.50,5.35,5.45,538487
GPRE,20170509,5.45,5.45,5.39,5.40,71564
GPRE,20170510,5.40,5.40,5.34,5.38,159796
GPRE,20170511,5.40,5.55,5.23,5.55,1316602
GPRE,20170512,5.64,5.64,5.47,5.50,1450858
GPRE,20170515,5.59,5.60,5.40,5.40,201094
GPRE,20170516,5.40,5.51,5.40,5.44,67235
GPRE,20170517,5.49,5.60,5.45,5.55,93677
GPRE,20170518,5.55,5.70,5.54,5.60,136703
GPRE,20170519,5.70,5.70,5.55,5.57,43311
GPRE,20170522,5.57,5.67,5.57,5.58,13748
GPRE,20170523,5.60,5.60,5.55,5.57,12386
GPRE,20170524,5.66,5.70,5.52,5.55,94299
GPRE,20170525,5.65,5.65,5.58,5.63,5718
GPRE,20170526,5.64,5.66,5.51,5.51,52741
GPRE,20170529,5.63,5.63,5.56,5.60,5597
GPRE,20170530,5.61,5.65,5.56,5.56,31679
GPRE,20170531,5.56,5.60,5.51,5.51,18922
GPRE,20170601,5.63,5.63,5.50,5.50,31749
GPRE,20170602,5.60,5.60,5.46,5.52,25483
GPRE,20170605,5.57,5.59,5.52,5.52,15417
GPRE,20170606,5.57,5.57,5.53,5.57,1919
GPRE,20170607,5.55,5.57,5.47,5.48,69133
GPRE,20170608,5.53,5.53,5.33,5.42,324632
GPRE,20170609,5.46,5.46,5.40,5.40,81605
GPRE,20170612,5.47,5.51,5.43,5.43,2172
GPRE,20170613,5.49,5.49,5.28,5.34,47120
GPRE,20170614,5.32,5.40,5.30,5.40,148659
GPRE,20170616,5.39,5.45,5.31,5.31,21399
GPRE,20170619,5.33,5.37,5.25,5.30,194262
GPRE,20170620,5.30,5.34,5.27,5.27,214814
GPRE,20170621,5.30,5.30,5.27,5.28,46260
GPRE,20170622,5.27,5.27,5.20,5.23,469545
GPRE,20170623,5.27,5.27,5.20,5.20,146137
GPRE,20170626,5.20,5.20,5.11,5.11,137816
GPRE,20170627,5.11,5.11,4.92,5.10,136058
GPRE,20170628,5.08,5.09,4.95,4.95,153957
GPRE,20170629,5.02,5.02,4.87,4.90,52982
GPRE,20170630,4.90,4.90,4.82,4.82,118554
GPRE,20170703,4.82,4.82,4.68,4.72,48268
GPRE,20170704,4.65,4.95,4.64,4.90,170997
GPRE,20170705,4.86,4.97,4.85,4.88,113801
GPRE,20170706,4.88,4.91,4.85,4.85,10766
GPRE,20170707,4.85,4.90,4.82,4.88,56117
GPRE,20170710,4.91,4.93,4.86,4.93,7958
GPRE,20170711,4.98,4.98,4.88,4.89,13508
GPRE,20170712,4.95,4.95,4.86,4.90,163198
GPRE,20170713,4.92,4.92,4.83,4.83,10722
GPRE,20170714,4.88,4.95,4.83,4.83,20270
GPRE,20170717,4.93,4.93,4.84,4.84,12253
GPRE,20170718,4.83,4.89,4.82,4.85,3494
GPRE,20170719,4.89,4.95,4.75,4.83,623793
GPRE,20170720,4.90,4.90,4.83,4.90,5288
GPRE,20170721,4.90,4.90,4.81,4.89,2255
