Name,Date,Open,High,Low,Close,Volume
INPOST,20151013,24.70,25.25,24.10,24.26,47375
INPOST,20151014,24.58,24.69,24.10,24.50,11280
INPOST,20151015,24.33,24.50,24.10,24.20,6513
INPOST,20151016,24.39,24.39,24.20,24.35,2250
INPOST,20151019,24.10,24.12,24.04,24.05,6565
INPOST,20151020,24.00,24.04,22.24,23.00,27759
INPOST,20151021,23.00,23.16,22.92,23.00,14310
INPOST,20151022,22.99,22.99,22.05,22.25,10501
INPOST,20151023,21.92,22.17,21.85,22.00,19734
INPOST,20151026,21.70,21.95,21.70,21.70,4368
INPOST,20151027,21.31,22.28,20.10,22.28,18732
INPOST,20151028,22.29,22.30,21.81,22.00,2476
INPOST,20151029,21.10,21.85,21.10,21.50,15549
INPOST,20151030,21.50,22.80,21.50,22.50,7376
INPOST,20151102,22.73,23.50,22.73,23.50,7260
INPOST,20151103,23.50,23.50,23.00,23.00,3258
INPOST,20151104,22.99,22.99,22.85,22.95,343
INPOST,20151105,22.50,22.50,22.30,22.50,625
INPOST,20151106,22.95,23.00,22.95,22.95,851
INPOST,20151109,23.00,23.00,22.00,22.00,661
INPOST,20151110,22.00,22.00,21.20,21.22,1051
INPOST,20151112,21.50,21.78,21.21,21.26,788
INPOST,20151113,21.26,21.30,21.20,21.26,6211
INPOST,20151116,21.20,21.20,20.80,20.82,14653
INPOST,20151117,20.82,21.00,20.80,21.00,96509
INPOST,20151118,20.80,21.00,20.80,20.89,7331
INPOST,20151119,20.90,22.00,20.85,21.50,1719
INPOST,20151120,21.70,21.70,21.00,21.40,1362
INPOST,20151123,21.00,21.12,20.81,20.95,8201
INPOST,20151124,20.80,21.00,20.80,20.90,4829
INPOST,20151125,20.81,20.87,20.50,20.87,11539
INPOST,20151126,20.89,21.00,20.75,20.95,2421
INPOST,20151127,20.85,21.40,20.75,21.40,2664
INPOST,20151130,21.40,21.98,20.80,21.88,18083
INPOST,20151201,21.80,21.80,21.00,21.60,2457
INPOST,20151202,21.06,21.50,20.90,20.90,58125
INPOST,20151203,20.80,21.00,20.60,21.00,958
INPOST,20151204,20.71,20.90,20.41,20.90,5667
INPOST,20151207,20.41,21.00,20.41,20.60,1008
INPOST,20151208,20.60,20.60,20.49,20.50,172
INPOST,20151209,20.42,20.43,20.41,20.41,2252
INPOST,20151210,20.42,20.50,20.41,20.41,2820
INPOST,20151211,20.41,20.41,19.00,19.50,18782
INPOST,20151214,19.50,19.50,18.50,19.00,10524
INPOST,20151215,18.50,19.63,18.50,19.20,3895
INPOST,20151216,19.00,19.80,18.50,19.80,3430
INPOST,20151217,19.80,21.29,19.79,20.90,3930
INPOST,20151218,20.90,20.90,20.39,20.90,1291
INPOST,20151221,20.90,20.95,20.40,20.88,3835
INPOST,20151222,20.88,20.88,19.15,20.88,4582
