Name,Date,Open,High,Low,Close,Volume
INTLADS17350,20170113,7.11,7.11,7.11,7.11,50
INTLADS17350,20170119,9.60,9.60,9.60,9.60,229
INTLADS17350,20170124,10.62,10.62,10.62,10.62,100
INTLADS17350,20170126,10.95,10.95,10.95,10.95,60
INTLADS17350,20170131,9.48,9.48,9.48,9.48,14
INTLADS17350,20170217,7.95,7.95,7.95,7.95,14
INTLADS17350,20170224,9.08,9.08,9.08,9.08,31
INTLADS17350,20170227,11.45,12.17,11.45,12.17,2110
INTLADS17350,20170228,12.08,12.08,12.08,12.08,31
INTLADS17350,20170301,12.45,12.45,12.45,12.45,2060
INTLADS17350,20170302,14.41,14.41,14.41,14.41,1740
INTLADS17350,20170303,13.27,13.27,13.27,13.27,1740
INTLADS17350,20170306,12.70,12.70,12.70,12.70,60
INTLADS17350,20170412,19.36,19.36,19.36,19.36,7
INTLADS17350,20170413,19.72,19.72,19.72,19.72,129
INTLADS17350,20170419,19.72,19.72,19.72,19.72,5
INTLADS17350,20170504,24.01,24.01,24.01,24.01,5
INTLADS17350,20170517,19.69,19.69,19.69,19.69,7
INTLADS17350,20170524,17.28,17.28,17.28,17.28,288
INTLADS17350,20170613,17.81,17.81,17.81,17.81,288
