Name,Date,Open,High,Low,Close,Volume
INTLBCO13235,20160310,33.50,33.50,33.50,33.50,44
INTLBCO13235,20160311,33.56,34.68,33.56,34.68,55
INTLBCO13235,20160314,29.20,29.20,27.23,27.48,300
INTLBCO13235,20160315,24.67,24.67,24.67,24.67,5
INTLBCO13235,20160316,27.79,30.22,27.79,30.22,150
INTLBCO13235,20160317,33.78,34.50,32.80,32.80,319
INTLBCO13235,20160318,36.80,37.85,36.80,37.85,100
INTLBCO13235,20160321,32.56,34.54,32.56,34.30,330
INTLBCO13235,20160322,35.24,35.24,35.24,35.24,30
INTLBCO13235,20160323,35.12,35.12,35.12,35.12,5
INTLBCO13235,20160324,29.00,29.03,28.24,29.03,1803
INTLBCO13235,20160329,26.80,26.80,26.80,26.80,15
INTLBCO13235,20160401,22.10,22.40,22.10,22.40,200
INTLBCO13235,20160404,19.43,19.58,19.43,19.58,200
INTLBCO13235,20160405,17.48,17.82,17.08,17.82,279
INTLBCO13235,20160406,21.19,22.00,21.19,22.00,948
INTLBCO13235,20160407,26.15,26.15,22.54,22.54,819
INTLBCO13235,20160408,28.70,28.70,28.70,28.70,63
INTLBCO13235,20160411,34.03,36.06,34.03,36.06,1200
INTLBCO13235,20160412,40.90,40.90,40.90,40.90,120
INTLBCO13235,20160414,42.89,43.20,42.39,42.39,265
INTLBCO13235,20160415,41.95,42.04,36.07,36.07,35700
INTLBCO13235,20160420,36.90,36.90,36.90,36.90,280
INTLBCO13235,20160421,47.72,47.72,44.32,44.32,410
INTLBCO13235,20160429,57.25,58.40,57.25,58.40,40
INTLBCO13235,20160502,52.15,52.90,52.15,52.90,70
INTLBCO13235,20160504,45.82,45.82,45.00,45.00,194
INTLBCO13235,20160505,48.87,50.00,48.69,48.69,210
INTLBCO13235,20160510,43.62,43.62,43.62,43.62,33
INTLBCO13235,20160511,49.50,51.50,49.50,51.50,137
INTLBCO13235,20160518,62.15,62.55,62.15,62.55,88
INTLBCO13235,20160601,62.40,62.40,62.40,62.40,43
INTLBCO13235,20160603,64.40,64.40,64.40,64.40,43
INTLBCO13235,20160613,63.80,63.80,63.80,63.80,43
INTLBCO13235,20160628,58.55,58.55,58.55,58.55,12
INTLBCO13235,20160706,51.60,51.60,51.60,51.60,50
INTLBCO13235,20160708,50.50,50.50,50.50,50.50,21
INTLBCO13235,20160725,42.79,42.79,42.00,42.00,67
INTLBCO13235,20160727,40.49,40.49,39.00,39.00,60
INTLBCO13235,20160729,30.47,31.48,30.47,31.48,125
INTLBCO13235,20160802,29.60,29.60,29.60,29.60,55
INTLBCO13235,20160805,35.20,35.20,32.99,33.86,550
INTLBCO13235,20160808,37.64,39.50,37.64,39.50,3
INTLBCO13235,20160809,37.99,37.99,37.99,37.99,303
INTLBCO13235,20160810,36.44,38.00,36.44,38.00,130
INTLBCO13235,20160811,39.05,39.05,39.05,39.05,18
INTLBCO13235,20160812,42.30,42.68,42.30,42.68,75
INTLBCO13235,20160816,49.20,51.20,49.20,50.70,100
INTLBCO13235,20160817,52.75,52.75,52.75,52.75,15
INTLBCO13235,20160818,58.00,58.00,58.00,58.00,20
INTLBCO13235,20160819,58.65,58.65,58.65,58.65,30
INTLBCO13235,20160822,56.75,56.75,56.75,56.75,111
INTLBCO13235,20160825,55.10,55.10,55.10,55.10,11
INTLBCO13235,20160831,51.25,51.25,51.25,51.25,49
INTLBCO13235,20160902,40.00,42.42,40.00,42.42,317
INTLBCO13235,20160905,50.10,50.10,50.10,50.10,200
INTLBCO13235,20160912,45.27,45.27,45.27,45.27,23
