Name,Date,Open,High,Low,Close,Volume
INTLBND14357,20160607,40.76,40.76,40.76,40.76,36
INTLBND14357,20160609,42.85,42.85,42.85,42.85,36
INTLBND14357,20160623,39.98,39.98,39.98,39.98,9
INTLBND14357,20160624,48.95,48.95,48.95,48.95,9
INTLBND14357,20160705,54.40,54.70,53.85,54.70,90
INTLBND14357,20160706,54.70,54.70,54.70,54.70,50
INTLBND14357,20160726,49.44,49.44,49.44,49.44,100
INTLBND14357,20160808,48.45,48.45,48.45,48.45,40
INTLBND14357,20160812,51.20,51.20,51.20,51.20,40
INTLBND14357,20160817,47.50,47.50,47.50,47.50,42
INTLBND14357,20160819,49.73,49.73,49.73,49.73,42
INTLBND14357,20160830,51.00,51.00,51.00,51.00,100
INTLBND14357,20160901,48.00,48.00,48.00,48.00,100
INTLBND14357,20160907,51.15,51.15,51.15,51.15,100
INTLBND14357,20161025,42.21,42.21,42.21,42.21,70
INTLBND14357,20161114,22.64,22.64,22.64,22.64,70
INTLBND14357,20161116,24.43,24.43,24.43,24.43,100
INTLBND14357,20161117,27.66,27.66,27.66,27.66,100
INTLBND14357,20161124,28.00,29.00,28.00,29.00,100
INTLBND14357,20161129,31.60,31.60,31.60,31.60,70
INTLBND14357,20161201,27.08,27.08,27.08,27.08,50
INTLBND14357,20161208,22.70,22.70,22.70,22.70,45
INTLBND14357,20161209,27.10,27.10,27.10,27.10,95
INTLBND14357,20170103,32.03,32.03,29.84,29.84,113
INTLBND14357,20170104,31.55,31.55,31.55,31.55,43
INTLBND14357,20170109,28.75,28.75,28.75,28.75,3
INTLBND14357,20170113,30.93,30.93,30.93,30.93,4
INTLBND14357,20170116,31.21,31.21,31.21,31.21,3
INTLBND14357,20170120,26.07,26.07,26.07,26.07,6
INTLBND14357,20170131,22.96,22.96,22.96,22.96,4
INTLBND14357,20170203,24.97,24.97,24.97,24.97,4
INTLBND14357,20170217,31.21,31.21,31.21,31.21,10
INTLBND14357,20170220,32.00,32.00,32.00,32.00,200
INTLBND14357,20170227,38.99,38.99,38.99,38.99,100
INTLBND14357,20170302,32.28,32.28,32.28,32.28,300
INTLBND14357,20170310,24.01,24.01,24.01,24.01,4
INTLBND14357,20170327,27.54,27.54,27.54,27.54,4
INTLBND14357,20170424,29.20,29.20,29.20,29.20,50
INTLBND14357,20170426,26.58,26.58,26.58,26.58,50
INTLBND14357,20170504,26.08,26.08,26.08,26.08,50
INTLBND14357,20170515,23.86,23.86,23.86,23.86,126
INTLBND14357,20170518,26.65,26.65,26.65,26.65,126
INTLBND14357,20170524,23.90,23.90,23.90,23.90,208
INTLBND14357,20170526,27.06,27.06,27.06,27.06,208
INTLBND14357,20170530,29.20,29.20,29.20,29.20,150
INTLBND14357,20170623,31.88,31.88,31.69,31.69,8
INTLBND14357,20170628,23.89,24.30,23.00,24.30,146
INTLBND14357,20170629,22.00,22.00,22.00,22.00,50
INTLBND14357,20170630,18.78,18.78,18.78,18.78,4
INTLBND14357,20170710,13.68,13.68,13.68,13.68,50
INTLBND14357,20170719,15.68,16.33,15.68,16.33,228
