Name,Date,Open,High,Low,Close,Volume
INTLDAX16816,20161208,36.34,37.30,36.34,37.30,574
INTLDAX16816,20161209,43.69,44.13,42.00,42.70,364
INTLDAX16816,20161212,44.38,44.38,43.64,43.64,139
INTLDAX16816,20161213,45.63,48.20,45.63,47.35,2536
INTLDAX16816,20161214,46.90,47.20,46.32,47.20,132
INTLDAX16816,20161215,48.06,49.80,48.06,49.80,2097
INTLDAX16816,20161219,51.65,51.65,51.65,51.65,67
INTLDAX16816,20161229,52.90,52.90,52.90,52.90,40
INTLDAX16816,20161230,53.30,54.45,53.30,54.45,140
INTLDAX16816,20170102,59.35,59.35,59.35,59.35,100
INTLDAX16816,20170104,57.80,57.80,57.80,57.80,205
INTLDAX16816,20170109,58.60,58.60,57.50,57.50,60
INTLDAX16816,20170111,59.90,59.90,59.90,59.90,60
INTLDAX16816,20170112,59.65,59.65,56.85,56.85,68
INTLDAX16816,20170113,58.80,60.40,58.15,60.40,160
INTLDAX16816,20170117,54.65,56.95,53.75,56.95,140
INTLDAX16816,20170125,62.40,62.40,62.40,62.40,5
INTLDAX16816,20170130,66.30,66.30,66.30,66.30,100
INTLDAX16816,20170201,61.00,61.00,61.00,61.00,20
INTLDAX16816,20170208,55.00,55.00,55.00,55.00,5
INTLDAX16816,20170213,64.95,64.95,64.95,64.95,20
INTLDAX16816,20170329,80.80,80.80,80.80,80.80,105
INTLDAX16816,20170523,96.60,96.60,96.60,96.60,105
INTLDAX16816,20170629,96.80,96.80,96.80,96.80,10
INTLDAX16816,20170721,76.75,76.75,76.75,76.75,15
