Name,Date,Open,High,Low,Close,Volume
INTLDBK16980,20161215,20.44,20.44,20.44,20.44,500
INTLDBK16980,20161216,21.67,22.00,21.67,22.00,637
INTLDBK16980,20161230,15.53,15.53,15.53,15.53,200
INTLDBK16980,20170102,18.29,18.29,18.29,18.29,200
INTLDBK16980,20170126,27.60,27.60,27.60,27.60,80
INTLDBK16980,20170127,24.47,24.47,24.47,24.47,1000
INTLDBK16980,20170202,18.94,18.94,18.94,18.94,137
INTLDBK16980,20170306,18.15,18.15,18.15,18.15,80
INTLDBK16980,20170321,17.31,17.31,17.31,17.31,29
INTLDBK16980,20170413,14.75,14.75,14.75,14.75,170
INTLDBK16980,20170418,13.52,13.52,13.52,13.52,170
INTLDBK16980,20170607,16.25,16.25,16.25,16.25,250
INTLDBK16980,20170612,17.20,17.20,17.20,17.20,250
INTLDBK16980,20170627,14.70,14.70,14.70,14.70,11
INTLDBK16980,20170628,16.14,16.14,16.14,16.14,11
