Name,Date,Open,High,Low,Close,Volume
INTLESX18630,20170508,18.04,18.04,17.79,17.79,200
INTLESX18630,20170509,18.50,18.78,18.50,18.69,1000
INTLESX18630,20170511,17.87,18.27,17.00,17.00,567
INTLESX18630,20170512,17.41,17.41,17.41,17.41,50
INTLESX18630,20170515,18.17,18.17,18.17,18.17,500
INTLESX18630,20170516,18.43,18.64,18.39,18.64,718
INTLESX18630,20170607,14.55,15.80,14.55,15.80,190
INTLESX18630,20170619,16.04,16.29,16.04,16.29,200
INTLESX18630,20170621,14.16,14.16,14.16,14.16,120
INTLESX18630,20170626,15.58,15.58,15.58,15.58,120
INTLESX18630,20170627,14.18,14.18,14.18,14.18,140
INTLESX18630,20170712,13.32,13.32,13.32,13.32,140
