Name,Date,Open,High,Low,Close,Volume
INTLEUC07211,20150127,29.80,29.80,29.80,29.80,100
INTLEUC07211,20150128,34.99,34.99,34.99,34.99,100
INTLEUC07211,20150129,40.67,40.67,38.73,38.73,20
INTLEUC07211,20150202,45.89,45.89,45.89,45.89,30
INTLEUC07211,20150203,44.21,44.21,44.21,44.21,30
INTLEUC07211,20150204,47.82,47.82,47.82,47.82,20
INTLEUC07211,20150213,46.45,46.45,46.45,46.45,20
INTLEUC07211,20160623,39.93,39.93,39.93,39.93,100
INTLEUC07211,20160624,36.40,36.40,36.40,36.40,100
INTLEUC07211,20170523,28.95,28.95,28.95,28.95,23
INTLEUC07211,20170525,28.57,28.57,28.57,28.57,23
INTLEUC07211,20170623,25.45,25.45,25.45,25.45,32
INTLEUC07211,20170630,28.41,28.41,28.41,28.41,32
