Name,Date,Open,High,Low,Close,Volume
INTLEUD18143,20170424,27.90,27.90,27.90,27.90,18
INTLEUD18143,20170426,30.25,30.25,30.25,30.25,161
INTLEUD18143,20170428,30.14,30.14,30.14,30.14,35
INTLEUD18143,20170505,31.40,31.40,31.40,31.40,50
INTLEUD18143,20170515,29.83,30.60,29.83,30.60,211
INTLEUD18143,20170518,35.25,35.25,35.25,35.25,53
INTLEUD18143,20170616,35.37,35.77,35.37,35.77,278
INTLEUD18143,20170629,43.00,43.00,43.00,43.00,25
INTLEUD18143,20170707,43.42,43.42,43.42,43.42,40
INTLEUD18143,20170719,45.52,45.52,45.52,45.52,40
