Name,Date,Open,High,Low,Close,Volume
INTLEUR18747,20170515,27.00,27.00,27.00,27.00,40
INTLEUR18747,20170517,25.00,25.00,25.00,25.00,60
INTLEUR18747,20170525,23.00,23.00,23.00,23.00,50
INTLEUR18747,20170601,23.04,23.04,23.04,23.04,43
INTLEUR18747,20170602,23.90,23.90,23.90,23.90,43
INTLEUR18747,20170605,23.11,23.11,23.11,23.11,58
INTLEUR18747,20170606,24.73,24.73,24.73,24.73,58
INTLEUR18747,20170607,23.79,24.02,23.79,24.00,248
INTLEUR18747,20170609,23.00,23.00,23.00,23.00,65
INTLEUR18747,20170612,23.67,23.67,23.67,23.67,65
INTLEUR18747,20170613,23.40,23.40,23.40,23.40,100
INTLEUR18747,20170614,24.07,24.07,24.07,24.07,100
INTLEUR18747,20170620,26.40,26.40,25.80,25.80,300
INTLEUR18747,20170621,27.77,27.77,27.77,27.77,300
INTLEUR18747,20170622,28.54,28.54,28.54,28.54,25
INTLEUR18747,20170623,27.20,27.20,27.20,27.20,1000
INTLEUR18747,20170628,26.94,26.94,26.94,26.94,1000
