Name,Date,Open,High,Low,Close,Volume
INTLGBU18549,20170508,27.73,27.73,27.73,27.73,100
INTLGBU18549,20170511,23.41,23.41,23.41,23.41,100
INTLGBU18549,20170517,26.75,26.75,26.75,26.75,100
INTLGBU18549,20170531,18.71,18.71,18.71,18.71,100
INTLGBU18549,20170609,15.96,18.04,15.96,16.96,1174
INTLGBU18549,20170613,14.90,15.65,14.90,15.65,400
INTLGBU18549,20170614,19.14,19.14,19.14,19.14,600
INTLGBU18549,20170621,12.28,14.67,12.28,14.67,32
INTLGBU18549,20170622,14.03,14.03,13.86,13.86,32
INTLGBU18549,20170623,16.16,16.16,16.16,16.16,6
INTLGBU18549,20170626,16.15,16.15,16.15,16.15,6
INTLGBU18549,20170717,27.97,27.97,27.97,27.97,200
INTLGBU18549,20170720,23.20,23.20,23.20,23.20,200
