Name,Date,Open,High,Low,Close,Volume
INTLGLD18317,20170324,44.72,44.72,44.72,44.72,6
INTLGLD18317,20170328,46.00,47.59,46.00,47.59,352
INTLGLD18317,20170329,45.60,45.60,45.60,45.60,200
INTLGLD18317,20170330,45.16,45.16,44.41,44.41,336
INTLGLD18317,20170331,41.89,41.89,41.08,41.10,625
INTLGLD18317,20170403,42.95,43.32,42.95,43.32,26
INTLGLD18317,20170404,49.05,49.05,47.40,47.40,1180
INTLGLD18317,20170405,48.00,48.00,44.28,44.28,181
INTLGLD18317,20170406,45.73,45.87,45.73,45.87,80
INTLGLD18317,20170407,49.87,50.85,49.87,50.55,217
INTLGLD18317,20170410,46.28,46.28,46.28,46.28,60
INTLGLD18317,20170411,47.87,48.20,47.72,48.20,12
INTLGLD18317,20170412,55.15,55.15,54.00,54.00,181
INTLGLD18317,20170413,59.50,59.50,59.50,59.50,200
INTLGLD18317,20170418,58.25,58.25,58.25,58.25,175
INTLGLD18317,20170419,57.55,57.55,55.65,55.65,24
INTLGLD18317,20170420,56.50,56.50,56.50,56.50,30
INTLGLD18317,20170425,50.40,50.40,48.92,48.92,180
INTLGLD18317,20170426,47.73,48.64,47.60,47.60,329
INTLGLD18317,20170502,44.57,44.57,43.66,43.66,800
INTLGLD18317,20170504,35.80,35.80,35.80,35.80,300
INTLGLD18317,20170505,36.18,36.18,35.00,35.00,40
INTLGLD18317,20170508,34.64,35.11,34.64,35.11,5
INTLGLD18317,20170509,31.88,31.88,31.88,31.88,500
INTLGLD18317,20170511,30.87,32.42,30.87,32.42,660
INTLGLD18317,20170512,33.50,33.79,33.50,33.55,416
INTLGLD18317,20170515,35.30,35.70,34.62,34.62,520
INTLGLD18317,20170516,34.08,35.63,34.08,35.63,175
INTLGLD18317,20170517,37.68,43.55,37.68,43.21,1359
INTLGLD18317,20170518,42.53,46.10,41.03,41.34,1191
INTLGLD18317,20170519,40.50,42.07,39.44,42.07,575
INTLGLD18317,20170522,42.01,42.01,42.00,42.00,100
INTLGLD18317,20170523,44.32,44.32,42.98,43.95,354
INTLGLD18317,20170525,42.02,42.02,41.02,41.02,142
INTLGLD18317,20170526,44.56,45.74,44.56,45.74,660
INTLGLD18317,20170529,45.98,45.98,45.10,45.10,774
INTLGLD18317,20170530,44.53,44.53,43.48,43.95,2202
INTLGLD18317,20170531,44.59,45.65,44.59,45.65,1100
INTLGLD18317,20170601,45.01,45.01,45.01,45.01,32
INTLGLD18317,20170602,43.64,47.55,43.64,47.55,275
INTLGLD18317,20170605,50.15,50.80,49.98,50.55,388
INTLGLD18317,20170606,53.20,54.85,53.15,54.60,993
INTLGLD18317,20170607,55.10,55.10,54.75,54.75,131
INTLGLD18317,20170608,52.40,52.40,48.00,48.08,888
INTLGLD18317,20170609,47.40,48.29,45.87,45.87,391
INTLGLD18317,20170612,46.25,46.25,43.47,43.48,1458
INTLGLD18317,20170613,44.37,44.37,44.37,44.37,50
INTLGLD18317,20170614,44.48,49.35,44.48,48.86,298
INTLGLD18317,20170620,37.82,37.82,36.60,36.60,127
INTLGLD18317,20170622,40.16,40.16,39.20,39.29,146
INTLGLD18317,20170623,40.00,41.52,40.00,40.88,395
INTLGLD18317,20170626,39.90,39.90,33.79,33.79,756
INTLGLD18317,20170627,38.41,38.41,38.41,38.41,40
INTLGLD18317,20170628,38.00,38.80,37.88,38.57,375
INTLGLD18317,20170629,37.49,37.49,33.98,35.70,474
INTLGLD18317,20170630,34.30,34.58,33.88,33.88,185
INTLGLD18317,20170703,31.91,31.91,28.00,28.00,450
INTLGLD18317,20170704,28.24,28.24,27.71,27.71,98
INTLGLD18317,20170705,27.00,27.44,24.99,24.99,269
INTLGLD18317,20170710,21.42,21.42,21.42,21.42,30
INTLGLD18317,20170711,21.70,21.70,21.70,21.70,36
INTLGLD18317,20170712,25.35,27.78,25.35,27.45,709
INTLGLD18317,20170717,29.10,29.91,28.94,29.91,580
INTLGLD18317,20170718,30.75,33.11,30.34,33.11,750
INTLGLD18317,20170719,31.55,33.14,31.28,32.26,2740
INTLGLD18317,20170721,34.35,35.75,34.04,35.75,1614
