Name,Date,Open,High,Low,Close,Volume
INTLKGH16949,20161215,16.20,16.20,16.20,16.20,370
INTLKGH16949,20161216,12.06,12.06,12.06,12.06,370
INTLKGH16949,20161220,11.99,14.49,11.99,14.10,1357
INTLKGH16949,20161221,14.38,15.90,14.00,14.00,1425
INTLKGH16949,20161222,12.57,13.01,11.70,11.96,392
INTLKGH16949,20161223,13.00,14.00,13.00,14.00,130
INTLKGH16949,20161228,15.00,15.00,14.55,14.55,74
INTLKGH16949,20170103,16.66,16.66,15.09,15.09,650
INTLKGH16949,20170104,16.08,17.85,15.54,17.85,613
INTLKGH16949,20170110,19.65,20.65,19.65,20.65,400
INTLKGH16949,20170111,23.25,25.91,23.25,25.91,591
INTLKGH16949,20170112,28.65,29.05,28.65,29.05,1055
INTLKGH16949,20170116,33.11,33.11,31.05,31.05,1055
INTLKGH16949,20170119,35.72,35.72,35.72,35.72,38
INTLKGH16949,20170126,44.05,44.05,44.05,44.05,11
INTLKGH16949,20170127,41.33,41.33,41.33,41.33,250
INTLKGH16949,20170130,44.66,44.66,44.66,44.66,191
INTLKGH16949,20170210,48.34,48.34,48.34,48.34,38
INTLKGH16949,20170221,54.25,54.25,54.25,54.25,20
INTLKGH16949,20170309,37.90,38.60,37.90,38.60,1393
INTLKGH16949,20170310,40.74,40.74,39.39,39.39,1393
INTLKGH16949,20170315,45.48,45.98,45.48,45.98,152
INTLKGH16949,20170425,43.70,43.70,43.70,43.70,9
INTLKGH16949,20170504,38.76,38.76,38.76,38.76,9
INTLKGH16949,20170511,38.48,38.48,38.48,38.48,40
INTLKGH16949,20170525,33.92,33.92,33.92,33.92,47
INTLKGH16949,20170526,35.12,35.12,35.12,35.12,47
INTLKGH16949,20170605,27.55,27.55,27.50,27.50,1000
INTLKGH16949,20170606,27.34,27.34,27.34,27.34,500
INTLKGH16949,20170612,32.47,32.47,31.97,31.97,500
INTLKGH16949,20170629,33.89,33.89,32.49,32.49,1279
INTLKGH16949,20170630,30.63,30.63,30.58,30.58,1277
INTLKGH16949,20170719,41.20,41.20,41.20,41.20,20
INTLKGH16949,20170720,39.98,39.98,39.98,39.98,20
