Name,Date,Open,High,Low,Close,Volume
INTLNAG18192,20170323,3.93,4.00,3.93,4.00,880
INTLNAG18192,20170411,4.28,4.28,4.28,4.28,400
INTLNAG18192,20170412,4.20,4.32,4.20,4.32,810
INTLNAG18192,20170413,4.47,4.47,4.47,4.47,410
INTLNAG18192,20170418,4.15,4.15,4.15,4.15,415
INTLNAG18192,20170419,4.22,4.22,4.22,4.22,415
INTLNAG18192,20170526,3.85,3.85,3.85,3.85,6500
INTLNAG18192,20170602,2.66,2.66,2.66,2.66,6500
INTLNAG18192,20170628,2.86,2.86,2.86,2.86,10700
INTLNAG18192,20170705,2.50,2.50,2.50,2.50,10700
INTLNAG18192,20170706,2.10,2.10,2.10,2.10,5000
INTLNAG18192,20170711,2.58,2.65,2.58,2.65,3000
INTLNAG18192,20170719,2.85,2.85,2.85,2.85,500
