Name,Date,Open,High,Low,Close,Volume
INTLNDX18879,20170602,27.84,27.84,27.83,27.83,224
INTLNDX18879,20170605,29.36,29.36,29.36,29.36,200
INTLNDX18879,20170607,28.57,28.57,28.57,28.57,200
INTLNDX18879,20170612,22.26,22.26,20.44,20.44,224
INTLNDX18879,20170613,24.24,24.24,24.24,24.24,100
INTLNDX18879,20170619,23.19,23.19,23.19,23.19,100
INTLNDX18879,20170626,26.92,26.92,26.92,26.92,63
INTLNDX18879,20170628,20.20,21.10,19.53,21.10,266
INTLNDX18879,20170629,21.32,21.32,20.81,20.81,100
INTLNDX18879,20170630,19.06,19.06,19.06,19.06,75
INTLNDX18879,20170704,18.13,18.13,18.13,18.13,75
INTLNDX18879,20170713,25.37,25.37,25.01,25.01,110
INTLNDX18879,20170718,26.55,26.55,26.55,26.55,10
INTLNDX18879,20170721,28.85,28.85,28.37,28.37,115
