Name,Date,Open,High,Low,Close,Volume
INTLOPL18309,20170330,0.95,0.95,0.90,0.90,3750
INTLOPL18309,20170405,0.91,0.91,0.87,0.87,4000
INTLOPL18309,20170410,0.85,0.85,0.85,0.85,2050
INTLOPL18309,20170418,0.87,0.87,0.80,0.80,5083
INTLOPL18309,20170419,0.73,0.73,0.65,0.71,10988
INTLOPL18309,20170424,0.64,0.64,0.64,0.64,3405
INTLOPL18309,20170425,0.68,0.68,0.68,0.68,3000
INTLOPL18309,20170426,0.63,0.63,0.63,0.63,2138
INTLOPL18309,20170427,0.74,0.89,0.74,0.89,20756
INTLOPL18309,20170428,0.80,0.91,0.80,0.83,2488
INTLOPL18309,20170504,0.69,0.69,0.69,0.69,6
INTLOPL18309,20170509,0.88,0.88,0.88,0.88,3000
INTLOPL18309,20170512,0.81,0.81,0.81,0.81,925
INTLOPL18309,20170516,0.85,0.85,0.79,0.79,3825
INTLOPL18309,20170519,0.84,0.84,0.84,0.84,1214
INTLOPL18309,20170522,0.80,0.80,0.80,0.80,1214
INTLOPL18309,20170601,0.93,0.93,0.93,0.93,6000
INTLOPL18309,20170602,0.99,1.03,0.99,1.03,785
INTLOPL18309,20170606,0.83,0.83,0.83,0.83,700
INTLOPL18309,20170607,0.95,0.98,0.95,0.98,5459
INTLOPL18309,20170608,0.99,0.99,0.99,0.99,502
INTLOPL18309,20170612,1.07,1.07,1.07,1.07,2960
INTLOPL18309,20170613,1.05,1.05,1.02,1.05,4960
INTLOPL18309,20170616,1.13,1.14,1.13,1.14,2433
INTLOPL18309,20170619,1.14,1.14,1.14,1.14,500
INTLOPL18309,20170620,1.08,1.08,1.08,1.08,500
INTLOPL18309,20170621,1.16,1.16,1.15,1.15,1938
INTLOPL18309,20170622,1.16,1.16,1.16,1.16,1000
INTLOPL18309,20170623,1.29,1.35,1.28,1.35,16709
INTLOPL18309,20170626,1.36,1.36,1.36,1.36,2500
INTLOPL18309,20170628,1.38,1.38,1.38,1.38,12932
INTLOPL18309,20170629,1.37,1.37,1.30,1.30,14932
INTLOPL18309,20170703,1.36,1.36,1.36,1.36,1490
INTLOPL18309,20170705,1.19,1.19,1.19,1.19,2540
INTLOPL18309,20170706,1.27,1.27,1.23,1.27,24685
INTLOPL18309,20170710,1.23,1.23,1.23,1.23,2500
INTLOPL18309,20170712,1.26,1.26,1.26,1.26,790
INTLOPL18309,20170713,1.46,1.46,1.35,1.40,10355
INTLOPL18309,20170714,1.45,1.45,1.45,1.45,10800
INTLOPL18309,20170717,1.40,1.40,1.40,1.40,400
INTLOPL18309,20170718,1.39,1.39,1.39,1.39,1500
INTLOPL18309,20170720,1.43,1.43,1.43,1.43,2500
INTLOPL18309,20170721,1.38,1.38,1.38,1.38,2500
