Name,Date,Open,High,Low,Close,Volume
INTLPEO16972,20161221,18.16,18.46,18.11,18.11,784
INTLPEO16972,20161228,18.04,18.30,18.04,18.30,140
INTLPEO16972,20161230,19.00,19.00,19.00,19.00,200
INTLPEO16972,20170102,20.24,20.24,20.24,20.24,100
INTLPEO16972,20170103,20.27,20.27,20.27,20.27,34
INTLPEO16972,20170104,23.91,23.91,23.91,23.91,550
INTLPEO16972,20170109,21.89,21.89,21.89,21.89,100
INTLPEO16972,20170110,22.12,23.12,22.12,23.12,290
INTLPEO16972,20170111,21.46,21.46,21.41,21.41,200
INTLPEO16972,20170112,21.29,21.29,19.34,19.34,144
INTLPEO16972,20170116,22.80,22.80,22.80,22.80,200
INTLPEO16972,20170117,22.22,22.22,22.22,22.22,50
INTLPEO16972,20170118,21.41,21.61,21.41,21.61,215
INTLPEO16972,20170119,19.89,19.89,19.89,19.89,50
INTLPEO16972,20170120,19.73,20.78,19.73,20.78,410
INTLPEO16972,20170124,20.50,20.50,20.50,20.50,15
INTLPEO16972,20170209,30.99,30.99,30.99,30.99,430
INTLPEO16972,20170220,33.37,33.37,33.37,33.37,55
INTLPEO16972,20170228,31.70,31.70,31.70,31.70,55
INTLPEO16972,20170302,36.12,36.12,36.12,36.12,18
INTLPEO16972,20170306,31.31,31.31,31.31,31.31,70
INTLPEO16972,20170309,25.32,25.42,25.32,25.42,115
INTLPEO16972,20170310,28.00,28.00,28.00,28.00,60
INTLPEO16972,20170317,30.60,30.60,30.60,30.60,33
INTLPEO16972,20170321,31.59,31.59,30.44,30.44,110
INTLPEO16972,20170403,24.41,24.41,24.41,24.41,295
INTLPEO16972,20170404,24.90,24.90,24.90,24.90,100
INTLPEO16972,20170405,26.90,26.90,26.90,26.90,150
INTLPEO16972,20170421,25.69,25.84,25.69,25.84,5703
INTLPEO16972,20170428,30.19,30.19,30.10,30.10,5703
INTLPEO16972,20170509,34.00,34.00,34.00,34.00,18
INTLPEO16972,20170608,23.62,23.62,23.62,23.62,171
INTLPEO16972,20170612,20.10,20.10,19.15,19.15,280
INTLPEO16972,20170613,19.48,19.48,18.88,18.88,209
INTLPEO16972,20170614,18.67,18.67,18.67,18.67,175
INTLPEO16972,20170620,18.86,18.86,18.86,18.86,89
INTLPEO16972,20170622,18.43,18.43,17.93,17.93,18
INTLPEO16972,20170623,18.80,18.80,18.80,18.80,300
INTLPEO16972,20170629,21.00,21.00,20.58,20.58,413
INTLPEO16972,20170630,20.92,20.92,20.92,20.92,100
INTLPEO16972,20170704,20.34,20.34,20.34,20.34,223
INTLPEO16972,20170705,21.77,21.77,21.77,21.77,163
INTLPEO16972,20170706,21.05,21.05,21.05,21.05,172
INTLPEO16972,20170712,23.82,23.82,23.82,23.82,200
INTLPEO16972,20170713,25.75,25.75,25.75,25.75,52
INTLPEO16972,20170720,24.00,24.00,24.00,24.00,200
INTLPEO16972,20170721,25.14,25.14,25.14,25.14,87
