Name,Date,Open,High,Low,Close,Volume
INTLPGE16725,20161206,2.17,2.17,2.17,2.17,350
INTLPGE16725,20161208,2.66,2.66,2.36,2.36,660
INTLPGE16725,20161214,2.55,2.55,2.55,2.55,400
INTLPGE16725,20161221,3.25,3.25,3.25,3.25,450
INTLPGE16725,20170103,3.36,3.36,3.36,3.36,300
INTLPGE16725,20170116,3.10,3.10,3.10,3.10,150
INTLPGE16725,20170126,3.38,3.74,3.38,3.74,1700
INTLPGE16725,20170127,3.80,3.80,3.80,3.80,500
INTLPGE16725,20170209,3.75,3.75,3.75,3.75,400
INTLPGE16725,20170210,4.07,4.21,4.07,4.10,2200
INTLPGE16725,20170224,4.26,4.26,4.26,4.26,1500
INTLPGE16725,20170309,4.50,4.50,4.50,4.50,2000
INTLPGE16725,20170510,4.39,4.50,4.36,4.50,2000
INTLPGE16725,20170511,4.60,4.60,4.60,4.60,2000
INTLPGE16725,20170512,4.32,4.32,3.97,3.97,2000
INTLPGE16725,20170516,3.74,3.74,3.69,3.69,6000
INTLPGE16725,20170627,5.16,5.16,5.16,5.16,2000
INTLPGE16725,20170629,4.67,4.67,4.67,4.67,2000
INTLPGE16725,20170707,4.58,4.58,4.58,4.58,1000
INTLPGE16725,20170713,5.41,5.56,5.41,5.56,1500
INTLPGE16725,20170718,5.35,5.35,5.35,5.35,500
INTLPGE16725,20170720,5.70,5.70,5.31,5.31,1800
