Name,Date,Open,High,Low,Close,Volume
INTLPGN18028,20170306,1.00,1.02,1.00,1.02,1195
INTLPGN18028,20170308,1.16,1.16,1.04,1.10,4115
INTLPGN18028,20170309,1.15,1.15,1.15,1.15,195
INTLPGN18028,20170313,1.09,1.09,1.09,1.09,10000
INTLPGN18028,20170314,0.84,0.84,0.84,0.84,3000
INTLPGN18028,20170315,0.77,0.87,0.77,0.87,1696
INTLPGN18028,20170320,0.96,0.96,0.96,0.96,1300
INTLPGN18028,20170321,0.92,0.92,0.92,0.92,2719
INTLPGN18028,20170328,0.84,0.84,0.78,0.78,985
INTLPGN18028,20170329,0.75,0.75,0.75,0.75,600
INTLPGN18028,20170330,0.64,0.64,0.62,0.62,5600
INTLPGN18028,20170404,0.75,0.75,0.75,0.75,1800
INTLPGN18028,20170413,1.02,1.02,1.02,1.02,500
INTLPGN18028,20170421,1.16,1.17,1.16,1.17,22446
INTLPGN18028,20170424,1.17,1.17,1.17,1.17,385
INTLPGN18028,20170426,1.28,1.29,1.28,1.29,2350
INTLPGN18028,20170427,1.30,1.30,1.30,1.30,6000
INTLPGN18028,20170504,1.37,1.37,1.37,1.37,22446
INTLPGN18028,20170510,1.43,1.43,1.36,1.36,6960
INTLPGN18028,20170511,1.33,1.33,1.33,1.33,200
INTLPGN18028,20170512,1.39,1.39,1.39,1.39,1900
INTLPGN18028,20170515,1.38,1.38,1.38,1.38,960
INTLPGN18028,20170517,1.20,1.20,1.12,1.12,8500
INTLPGN18028,20170518,1.00,1.00,0.92,0.93,4900
INTLPGN18028,20170519,1.10,1.10,1.10,1.10,1600
INTLPGN18028,20170524,1.01,1.01,1.01,1.01,6000
INTLPGN18028,20170525,1.29,1.39,1.29,1.39,17000
INTLPGN18028,20170526,1.39,1.40,1.39,1.40,3000
INTLPGN18028,20170530,1.45,1.45,1.45,1.45,1000
INTLPGN18028,20170601,1.18,1.18,1.18,1.18,5000
INTLPGN18028,20170605,1.21,1.21,1.21,1.21,1000
INTLPGN18028,20170612,1.15,1.15,1.15,1.15,500
INTLPGN18028,20170613,1.20,1.20,1.20,1.20,1000
INTLPGN18028,20170620,1.29,1.29,1.29,1.29,400
INTLPGN18028,20170622,1.32,1.32,1.32,1.32,6000
INTLPGN18028,20170623,1.26,1.26,1.26,1.26,3000
INTLPGN18028,20170627,1.29,1.29,1.29,1.29,500
INTLPGN18028,20170630,1.15,1.15,1.04,1.07,22600
INTLPGN18028,20170703,1.12,1.12,1.12,1.12,900
INTLPGN18028,20170713,1.30,1.30,1.30,1.30,6000
INTLPGN18028,20170714,1.38,1.38,1.38,1.38,12000
INTLPGN18028,20170717,1.45,1.54,1.45,1.51,12200
INTLPGN18028,20170718,1.49,1.49,1.49,1.49,1000
INTLPGN18028,20170719,1.53,1.53,1.53,1.53,550
INTLPGN18028,20170721,1.46,1.46,1.40,1.40,12600
