Name,Date,Open,High,Low,Close,Volume
INTLPKN18259,20170405,18.01,18.01,18.01,18.01,64
INTLPKN18259,20170406,16.05,16.05,16.05,16.05,80
INTLPKN18259,20170411,17.50,17.50,17.50,17.50,80
INTLPKN18259,20170419,23.67,23.67,23.67,23.67,64
INTLPKN18259,20170519,19.63,22.17,19.63,22.17,500
INTLPKN18259,20170525,19.40,19.40,19.40,19.40,220
INTLPKN18259,20170526,19.29,19.29,19.29,19.29,100
INTLPKN18259,20170606,19.50,19.50,19.50,19.50,100
INTLPKN18259,20170607,21.02,21.02,21.02,21.02,220
INTLPKN18259,20170608,22.84,22.84,22.84,22.84,11
INTLPKN18259,20170613,20.92,22.78,20.92,22.78,500
INTLPKN18259,20170616,24.06,24.83,24.06,24.83,261
INTLPKN18259,20170620,28.51,28.51,28.51,28.51,200
INTLPKN18259,20170621,28.10,28.10,27.00,27.00,550
INTLPKN18259,20170622,28.61,28.61,28.61,28.61,80
INTLPKN18259,20170623,29.35,29.35,29.35,29.35,50
INTLPKN18259,20170628,23.49,23.49,23.49,23.49,100
INTLPKN18259,20170629,24.05,24.50,23.97,24.50,300
INTLPKN18259,20170706,23.06,23.06,23.06,23.06,37
INTLPKN18259,20170712,24.56,24.56,24.56,24.56,37
INTLPKN18259,20170717,25.26,25.26,25.26,25.26,31
INTLPKN18259,20170718,26.09,26.09,26.09,26.09,6
INTLPKN18259,20170719,25.08,25.08,25.08,25.08,140
INTLPKN18259,20170720,24.77,24.77,24.77,24.77,60
