Name,Date,Open,High,Low,Close,Volume
INTLPKO17301,20170113,4.23,4.23,4.14,4.14,560
INTLPKO17301,20170119,3.74,3.74,3.74,3.74,5350
INTLPKO17301,20170124,3.02,3.02,2.98,2.98,5350
INTLPKO17301,20170125,4.63,5.08,4.63,5.08,2801
INTLPKO17301,20170126,5.69,6.05,5.69,6.05,2296
INTLPKO17301,20170127,5.42,5.50,5.12,5.34,1940
INTLPKO17301,20170130,5.10,5.10,4.59,4.59,3004
INTLPKO17301,20170131,5.01,5.01,5.01,5.01,1000
INTLPKO17301,20170206,5.50,5.50,5.50,5.50,555
INTLPKO17301,20170207,5.16,5.16,5.16,5.16,200
INTLPKO17301,20170208,5.00,5.00,5.00,5.00,398
INTLPKO17301,20170210,7.01,7.01,6.94,6.94,310
INTLPKO17301,20170215,7.77,7.77,7.77,7.77,500
INTLPKO17301,20170217,8.22,8.22,7.95,7.95,1500
INTLPKO17301,20170301,8.64,8.93,8.64,8.93,400
INTLPKO17301,20170307,7.38,7.38,7.38,7.38,199
INTLPKO17301,20170308,7.01,7.01,6.69,6.69,1079
INTLPKO17301,20170310,7.26,7.26,7.22,7.22,830
INTLPKO17301,20170313,7.16,7.16,7.16,7.16,580
INTLPKO17301,20170314,7.03,7.03,7.03,7.03,150
INTLPKO17301,20170315,6.57,6.57,6.57,6.57,1300
INTLPKO17301,20170316,6.82,6.82,6.82,6.82,600
INTLPKO17301,20170320,7.19,7.19,7.19,7.19,300
INTLPKO17301,20170321,7.45,7.65,7.45,7.50,560
INTLPKO17301,20170322,6.60,6.60,6.60,6.60,620
INTLPKO17301,20170324,6.85,6.85,6.85,6.85,620
INTLPKO17301,20170327,6.15,6.49,6.15,6.49,1402
INTLPKO17301,20170424,6.80,6.80,6.80,6.80,1000
INTLPKO17301,20170426,8.56,8.56,8.56,8.56,500
INTLPKO17301,20170427,8.78,8.78,8.50,8.50,1650
INTLPKO17301,20170428,9.09,9.09,9.09,9.09,1150
INTLPKO17301,20170502,8.94,8.94,8.94,8.94,550
INTLPKO17301,20170504,10.12,10.12,9.88,10.10,1100
INTLPKO17301,20170508,9.38,9.38,9.38,9.38,300
INTLPKO17301,20170517,8.75,8.75,8.75,8.75,130
INTLPKO17301,20170518,8.26,8.26,7.80,7.93,3180
INTLPKO17301,20170620,8.32,8.32,8.32,8.32,1000
INTLPKO17301,20170626,7.95,8.41,7.95,8.41,3360
INTLPKO17301,20170627,8.34,8.34,8.34,8.34,1360
INTLPKO17301,20170628,7.89,7.89,7.56,7.56,1850
INTLPKO17301,20170629,8.12,8.12,8.12,8.12,700
INTLPKO17301,20170703,8.02,8.04,8.02,8.04,140
INTLPKO17301,20170712,8.48,8.48,8.48,8.48,140
INTLPKO17301,20170720,9.54,9.54,9.54,9.54,150
