Name,Date,Open,High,Low,Close,Volume
INTLPZU18796,20170517,7.37,8.26,7.37,8.26,1280
INTLPZU18796,20170518,6.29,6.29,6.20,6.20,700
INTLPZU18796,20170519,8.44,8.44,8.44,8.44,20
INTLPZU18796,20170522,9.23,9.23,9.23,9.23,198
INTLPZU18796,20170523,9.22,9.22,9.22,9.22,198
INTLPZU18796,20170524,9.07,9.07,9.07,9.07,20
INTLPZU18796,20170607,7.44,7.44,7.44,7.44,134
INTLPZU18796,20170616,6.50,6.50,6.50,6.50,80
INTLPZU18796,20170619,6.80,6.80,6.80,6.80,80
INTLPZU18796,20170620,7.18,7.18,6.99,6.99,160
INTLPZU18796,20170626,7.65,7.87,7.65,7.87,205
INTLPZU18796,20170703,7.23,7.23,7.23,7.23,135
INTLPZU18796,20170704,6.71,6.71,6.71,6.71,2000
INTLPZU18796,20170712,6.26,6.26,6.26,6.26,2000
INTLPZU18796,20170721,7.82,7.96,7.29,7.29,4070
