Name,Date,Open,High,Low,Close,Volume
INTLSLV13706,20160421,11.63,12.40,9.57,9.57,655
INTLSLV13706,20160422,11.45,11.45,11.38,11.38,574
INTLSLV13706,20160425,9.72,10.22,9.72,10.15,674
INTLSLV13706,20160428,11.15,11.15,11.15,11.15,350
INTLSLV13706,20160429,13.34,13.34,12.92,13.16,230
INTLSLV13706,20160502,13.00,13.00,12.50,12.51,425
INTLSLV13706,20160504,11.41,11.41,10.79,10.79,10000
INTLSLV13706,20160505,12.32,12.32,12.32,12.32,300
INTLSLV13706,20160509,10.63,10.63,10.63,10.63,150
INTLSLV13706,20160510,10.24,10.24,10.24,10.24,150
INTLSLV13706,20160511,11.37,12.28,11.37,11.93,11200
INTLSLV13706,20160512,11.27,11.45,11.01,11.45,10780
INTLSLV13706,20160513,9.68,9.97,9.49,9.97,1600
INTLSLV13706,20160516,11.17,11.34,10.54,10.70,790
INTLSLV13706,20160517,10.38,10.95,10.38,10.95,370
INTLSLV13706,20160518,10.04,10.40,9.82,10.40,1650
INTLSLV13706,20160519,8.91,8.92,7.67,7.67,1845
INTLSLV13706,20160520,8.17,8.37,8.10,8.20,1555
INTLSLV13706,20160523,7.54,7.90,7.49,7.90,2775
INTLSLV13706,20160524,7.23,7.65,7.09,7.65,1005
INTLSLV13706,20160525,7.25,7.25,7.25,7.25,531
INTLSLV13706,20160527,7.52,7.52,7.21,7.21,270
INTLSLV13706,20160530,5.71,6.00,5.71,6.00,1201
INTLSLV13706,20160531,6.28,6.28,6.28,6.28,200
INTLSLV13706,20160602,6.08,6.08,6.08,6.08,350
INTLSLV13706,20160603,6.61,7.31,6.61,7.31,1240
INTLSLV13706,20160607,7.14,7.21,7.14,7.21,440
INTLSLV13706,20160608,8.31,9.41,8.31,9.41,1215
INTLSLV13706,20160609,10.28,10.28,9.78,9.78,1390
INTLSLV13706,20160610,11.26,11.26,11.26,11.26,200
INTLSLV13706,20160613,10.98,11.37,10.98,11.37,1262
INTLSLV13706,20160614,11.18,11.18,11.18,11.18,100
INTLSLV13706,20160615,11.58,11.58,11.58,11.58,240
INTLSLV13706,20160616,12.91,12.91,12.76,12.76,200
INTLSLV13706,20160617,11.80,11.90,11.80,11.86,210
INTLSLV13706,20160620,11.35,11.35,11.10,11.10,200
INTLSLV13706,20160621,11.25,11.25,11.25,11.25,115
