Name,Date,Open,High,Low,Close,Volume
INTLSPX17848,20170301,17.76,17.76,17.76,17.76,60
INTLSPX17848,20170307,17.57,17.57,17.57,17.57,200
INTLSPX17848,20170313,17.52,17.52,17.52,17.52,142
INTLSPX17848,20170314,17.42,17.42,17.42,17.42,142
INTLSPX17848,20170316,18.10,18.10,18.10,18.10,100
INTLSPX17848,20170317,17.59,17.59,17.59,17.59,60
INTLSPX17848,20170324,16.10,16.10,16.10,16.10,220
INTLSPX17848,20170328,15.67,15.67,15.67,15.67,220
INTLSPX17848,20170526,17.21,17.21,17.21,17.21,116
INTLSPX17848,20170614,18.18,18.18,18.18,18.18,500
INTLSPX17848,20170621,18.36,18.36,18.36,18.36,500
