Name,Date,Open,High,Low,Close,Volume
INTLUSD05702,20140901,16.65,16.65,16.65,16.65,20
INTLUSD05702,20140909,20.53,21.00,20.53,21.00,22
INTLUSD05702,20140919,18.95,18.95,18.95,18.95,2
INTLUSD05702,20150105,50.07,50.07,50.07,50.07,70
INTLUSD05702,20150109,49.98,49.98,49.98,49.98,70
INTLUSD05702,20150114,54.43,54.43,54.43,54.43,60
INTLUSD05702,20150121,58.22,58.22,58.22,58.22,60
INTLUSD05702,20150212,58.47,58.47,58.47,58.47,10
INTLUSD05702,20150310,67.75,67.75,67.75,67.75,10
INTLUSD05702,20150518,39.63,39.63,39.63,39.63,25
INTLUSD05702,20150521,50.30,50.30,50.30,50.30,25
INTLUSD05702,20160627,69.65,70.60,69.65,70.60,333
INTLUSD05702,20160628,66.90,66.90,66.90,66.90,200
INTLUSD05702,20160630,65.30,65.30,65.30,65.30,45
INTLUSD05702,20160720,64.60,64.60,64.30,64.30,578
INTLUSD05702,20160822,46.23,46.23,46.23,46.23,11
INTLUSD05702,20160901,56.15,56.15,56.15,56.15,11
INTLUSD05702,20160905,55.45,55.45,55.45,55.45,13
INTLUSD05702,20161019,56.25,56.25,56.25,56.25,13
INTLUSD05702,20161108,53.70,53.70,53.70,53.70,8
INTLUSD05702,20161109,54.15,54.60,54.15,54.60,16
INTLUSD05702,20161116,76.00,76.00,76.00,76.00,8
INTLUSD05702,20161125,77.30,77.30,77.30,77.30,1000
INTLUSD05702,20161205,82.50,82.50,82.50,82.50,1000
INTLUSD05702,20170328,48.00,48.00,48.00,48.00,20
INTLUSD05702,20170404,55.00,55.00,55.00,55.00,20
INTLUSD05702,20170424,46.95,46.95,46.40,46.40,61
INTLUSD05702,20170428,42.58,42.58,42.28,42.28,109
INTLUSD05702,20170505,39.47,39.47,38.70,38.70,112
INTLUSD05702,20170510,42.88,42.88,42.88,42.88,221
INTLUSD05702,20170512,41.36,41.36,41.06,41.07,720
INTLUSD05702,20170518,33.00,33.00,33.00,33.00,30
INTLUSD05702,20170530,28.34,28.34,28.34,28.34,176
INTLUSD05702,20170607,26.30,26.30,26.30,26.30,150
INTLUSD05702,20170614,25.50,25.50,25.50,25.50,100
INTLUSD05702,20170616,30.02,30.02,30.02,30.02,150
INTLUSD05702,20170620,33.00,33.00,33.00,33.00,100
INTLUSD05702,20170621,34.33,34.33,34.33,34.33,200
INTLUSD05702,20170628,25.00,25.00,25.00,25.00,60
INTLUSD05702,20170629,23.48,25.62,23.48,24.00,2080
INTLUSD05702,20170630,23.00,23.00,22.45,22.45,1060
INTLUSD05702,20170704,26.87,26.87,26.87,26.87,186
INTLUSD05702,20170712,23.00,23.00,23.00,23.00,40
INTLUSD05702,20170713,22.50,22.50,22.50,22.50,40
INTLUSD05702,20170714,20.58,20.58,19.87,19.87,257
INTLUSD05702,20170717,20.00,20.00,20.00,20.00,50
INTLUSD05702,20170718,16.93,16.93,15.19,15.28,376
INTLUSD05702,20170719,16.83,16.83,16.83,16.83,50
INTLUSD05702,20170720,18.25,18.26,16.11,16.11,257
INTLUSD05702,20170721,14.96,14.96,14.96,14.96,50
