Name,Date,Open,High,Low,Close,Volume
INTLUSJ16360,20161116,37.79,37.79,37.79,37.79,3
INTLUSJ16360,20161117,35.77,35.77,35.34,35.34,7
INTLUSJ16360,20161202,51.90,51.90,51.90,51.90,4
INTLUSJ16360,20170126,51.45,51.45,51.45,51.45,388
INTLUSJ16360,20170127,52.95,52.95,52.95,52.95,388
INTLUSJ16360,20170130,52.65,52.65,52.20,52.20,1500
INTLUSJ16360,20170131,47.11,47.11,47.11,47.11,1500
INTLUSJ16360,20170413,32.42,32.42,32.42,32.42,47
INTLUSJ16360,20170425,36.74,36.74,36.74,36.74,47
INTLUSJ16360,20170614,30.60,30.60,30.60,30.60,51
INTLUSJ16360,20170718,37.80,37.80,37.80,37.80,51
