Name,Date,Open,High,Low,Close,Volume
INTLVOW15842,20161116,7.63,7.63,6.31,6.31,1400
INTLVOW15842,20161219,13.28,13.28,13.28,13.28,1140
INTLVOW15842,20170104,15.94,15.94,15.94,15.94,1140
INTLVOW15842,20170110,19.41,19.41,19.41,19.41,520
INTLVOW15842,20170111,20.66,20.66,20.66,20.66,100
INTLVOW15842,20170117,17.75,17.75,17.75,17.75,100
INTLVOW15842,20170201,18.58,18.58,18.58,18.58,215
INTLVOW15842,20170202,18.00,18.00,18.00,18.00,165
INTLVOW15842,20170210,16.76,16.76,16.76,16.76,300
INTLVOW15842,20170303,17.45,17.45,17.45,17.45,300
