Name,Date,Open,High,Low,Close,Volume
INTLW2017772,20170216,1.42,1.42,1.42,1.42,2372
INTLW2017772,20170217,1.80,1.81,1.43,1.50,41872
INTLW2017772,20170220,1.45,1.56,1.45,1.56,3774
INTLW2017772,20170221,1.57,2.00,1.57,2.00,2030
INTLW2017772,20170222,2.18,2.18,1.94,1.94,13016
INTLW2017772,20170223,2.04,2.30,2.04,2.30,4116
INTLW2017772,20170224,2.10,2.10,1.62,1.78,20405
INTLW2017772,20170227,1.77,1.77,1.74,1.75,4553
INTLW2017772,20170228,1.64,1.64,1.44,1.55,12241
INTLW2017772,20170301,1.85,2.15,1.85,2.15,63891
INTLW2017772,20170302,2.20,2.30,2.05,2.05,8650
INTLW2017772,20170303,1.87,1.89,1.87,1.89,3030
INTLW2017772,20170306,1.82,1.82,1.82,1.82,10000
INTLW2017772,20170307,1.60,1.60,1.60,1.60,1000
INTLW2017772,20170309,1.32,1.40,1.32,1.40,1220
INTLW2017772,20170310,1.71,1.71,1.69,1.69,1900
INTLW2017772,20170314,1.84,1.84,1.84,1.84,420
INTLW2017772,20170316,2.40,2.40,2.24,2.24,5606
INTLW2017772,20170317,2.49,2.49,2.41,2.41,1000
INTLW2017772,20170322,1.72,1.74,1.72,1.74,1830
INTLW2017772,20170323,1.85,1.85,1.68,1.69,44000
INTLW2017772,20170324,1.93,1.93,1.85,1.85,1830
INTLW2017772,20170327,1.60,1.60,1.50,1.50,2120
INTLW2017772,20170329,1.88,1.88,1.88,1.88,1000
INTLW2017772,20170330,1.51,1.51,1.46,1.46,1500
INTLW2017772,20170331,1.53,1.58,1.50,1.50,12708
INTLW2017772,20170403,1.58,1.66,1.42,1.66,7076
INTLW2017772,20170404,1.66,1.92,1.66,1.92,3840
INTLW2017772,20170407,2.04,2.04,1.89,2.02,34358
INTLW2017772,20170413,1.67,1.67,1.67,1.67,800
INTLW2017772,20170419,1.91,2.35,1.91,2.35,1050
INTLW2017772,20170421,2.46,2.46,2.16,2.16,5750
INTLW2017772,20170424,2.50,2.50,2.50,2.50,4000
INTLW2017772,20170426,3.20,3.20,3.20,3.20,500
INTLW2017772,20170504,3.59,3.59,3.59,3.59,250
INTLW2017772,20170505,2.96,2.96,2.96,2.96,500
INTLW2017772,20170602,2.33,2.33,2.33,2.33,1000
INTLW2017772,20170619,2.69,2.69,2.69,2.69,2000
INTLW2017772,20170623,2.56,2.56,2.56,2.56,2000
INTLW2017772,20170627,2.90,2.90,2.90,2.90,1900
INTLW2017772,20170703,2.45,2.45,2.45,2.45,2100
INTLW2017772,20170712,2.79,2.79,2.79,2.79,3000
INTLW2017772,20170713,2.86,2.95,2.86,2.95,5000
INTLW2017772,20170720,3.20,3.20,3.20,3.20,1000
