Name,Date,Open,High,Low,Close,Volume
INTSADS18341,20170330,14.37,14.37,14.36,14.36,157
INTSADS18341,20170404,14.57,14.57,14.57,14.57,157
INTSADS18341,20170413,14.73,14.73,14.73,14.73,115
INTSADS18341,20170421,13.53,13.99,13.53,13.99,165
INTSADS18341,20170425,11.20,11.30,11.20,11.30,150
INTSADS18341,20170502,11.95,11.95,11.85,11.85,200
INTSADS18341,20170508,12.10,12.10,12.05,12.05,400
INTSADS18341,20170510,12.42,12.42,12.42,12.42,100
INTSADS18341,20170511,12.34,13.72,12.34,13.66,1000
INTSADS18341,20170512,13.60,13.60,13.60,13.60,300
INTSADS18341,20170612,16.32,16.32,16.20,16.20,280
INTSADS18341,20170613,14.70,14.70,14.70,14.70,100
INTSADS18341,20170614,13.00,13.00,12.92,12.92,100
INTSADS18341,20170616,14.47,14.47,14.47,14.47,200
INTSADS18341,20170703,16.78,16.78,16.78,16.78,8
INTSADS18341,20170706,13.78,13.78,13.78,13.78,100
INTSADS18341,20170707,14.04,14.04,14.04,14.04,100
INTSADS18341,20170711,13.86,14.00,13.86,14.00,69
INTSADS18341,20170713,11.74,11.92,11.68,11.92,77
INTSADS18341,20170718,11.80,11.80,11.80,11.80,50
INTSADS18341,20170719,11.80,11.80,11.80,11.80,50
