Name,Date,Open,High,Low,Close,Volume
INTSBCO19018,20170629,20.45,20.64,20.45,20.64,150
INTSBCO19018,20170630,21.06,21.06,20.72,20.72,250
INTSBCO19018,20170703,17.22,18.13,17.22,17.23,314
INTSBCO19018,20170704,15.15,15.73,13.96,13.96,984
INTSBCO19018,20170705,14.82,20.72,14.82,20.72,2660
INTSBCO19018,20170706,19.88,20.20,18.29,18.29,1899
INTSBCO19018,20170707,22.39,26.86,22.10,26.65,10730
INTSBCO19018,20170710,25.94,27.30,25.15,25.15,5483
INTSBCO19018,20170711,24.29,26.07,24.29,25.45,2374
INTSBCO19018,20170712,19.44,21.20,18.65,21.20,4899
INTSBCO19018,20170713,22.41,23.00,19.80,19.80,5535
INTSBCO19018,20170714,18.69,18.69,17.23,17.70,240
INTSBCO19018,20170717,16.11,17.23,16.11,17.23,278
INTSBCO19018,20170718,18.71,18.71,15.21,15.33,1938
INTSBCO19018,20170719,17.50,17.50,14.25,14.25,765
INTSBCO19018,20170720,13.97,13.97,12.21,12.21,1615
INTSBCO19018,20170721,15.39,18.00,14.31,18.00,4043
