Name,Date,Open,High,Low,Close,Volume
INTSBND15693,20160930,37.98,37.98,37.98,37.98,261
INTSBND15693,20161005,43.13,43.13,43.13,43.13,100
INTSBND15693,20161010,46.22,46.22,46.22,46.22,100
INTSBND15693,20161021,44.58,44.58,44.58,44.58,261
INTSBND15693,20161024,43.71,43.71,43.71,43.71,11
INTSBND15693,20161219,51.80,51.80,51.80,51.80,100
INTSBND15693,20161221,50.35,50.55,50.35,50.55,400
INTSBND15693,20161230,45.27,45.27,45.27,45.27,500
INTSBND15693,20170118,46.13,46.13,46.13,46.13,50
INTSBND15693,20170120,50.60,50.60,50.60,50.60,50
INTSBND15693,20170126,54.05,54.05,54.05,54.05,22
INTSBND15693,20170127,53.65,53.65,52.40,52.40,66
INTSBND15693,20170310,44.57,44.57,44.57,44.57,1000
INTSBND15693,20170424,33.11,33.11,33.11,33.11,41
INTSBND15693,20170605,25.01,25.01,25.01,25.01,11
INTSBND15693,20170703,33.80,34.20,33.80,34.20,200
