Name,Date,Open,High,Low,Close,Volume
INTSDAX18952,20170630,93.15,93.15,93.15,93.15,40
INTSDAX18952,20170705,90.00,90.00,90.00,90.00,10
INTSDAX18952,20170706,96.95,96.95,96.95,96.95,39
INTSDAX18952,20170710,91.00,91.00,90.55,90.55,54
INTSDAX18952,20170711,88.75,90.20,88.75,89.45,122
INTSDAX18952,20170712,88.30,88.30,82.00,82.50,264
INTSDAX18952,20170713,82.80,82.80,81.40,82.50,33
INTSDAX18952,20170718,91.10,91.10,91.10,91.10,10
INTSDAX18952,20170720,90.30,90.30,90.30,90.30,300
INTSDAX18952,20170721,95.00,100.60,95.00,100.60,20
