Name,Date,Open,High,Low,Close,Volume
INTSDOW17434,20170123,136.30,136.30,136.30,136.30,500
INTSDOW17434,20170125,129.40,129.40,129.40,129.40,250
INTSDOW17434,20170127,124.10,124.10,124.10,124.10,10
INTSDOW17434,20170130,126.00,130.60,126.00,130.60,268
INTSDOW17434,20170201,129.50,129.60,129.50,129.60,500
INTSDOW17434,20170202,131.80,131.80,129.80,129.80,1005
INTSDOW17434,20170203,129.10,129.10,126.20,126.20,500
INTSDOW17434,20170206,121.70,121.70,121.70,121.70,500
INTSDOW17434,20170210,116.50,117.00,115.60,117.00,460
INTSDOW17434,20170213,111.80,113.00,109.20,109.20,257
INTSDOW17434,20170216,98.95,98.95,98.95,98.95,30
INTSDOW17434,20170217,99.65,101.00,99.65,101.00,32
INTSDOW17434,20170221,96.05,96.05,96.05,96.05,10
INTSDOW17434,20170224,93.75,93.75,93.10,93.10,23
INTSDOW17434,20170227,91.55,91.55,91.55,91.55,1
INTSDOW17434,20170228,89.50,90.05,89.25,89.25,62
INTSDOW17434,20170301,85.20,85.20,79.00,79.00,125
INTSDOW17434,20170302,78.30,78.30,78.30,78.30,50
INTSDOW17434,20170303,83.80,83.80,80.85,80.85,300
INTSDOW17434,20170306,84.65,84.80,82.85,82.85,315
INTSDOW17434,20170307,83.15,83.15,82.10,82.10,50
INTSDOW17434,20170308,84.50,85.45,83.70,85.45,68
INTSDOW17434,20170309,87.95,87.95,86.05,86.05,13
INTSDOW17434,20170310,84.20,84.20,84.20,84.20,15
INTSDOW17434,20170313,84.50,86.20,84.50,86.20,47
INTSDOW17434,20170314,85.10,87.85,85.10,87.85,115
INTSDOW17434,20170315,85.35,85.35,85.35,85.35,3
INTSDOW17434,20170316,80.35,80.35,80.35,80.35,16
INTSDOW17434,20170322,91.40,93.60,89.60,89.60,597
INTSDOW17434,20170324,89.70,89.70,89.10,89.45,64
INTSDOW17434,20170327,97.10,97.10,97.10,97.10,12
INTSDOW17434,20170329,87.90,90.40,87.90,90.40,95
INTSDOW17434,20170330,88.30,88.30,86.10,86.10,135
INTSDOW17434,20170404,92.10,92.20,90.30,90.30,41
INTSDOW17434,20170407,90.45,90.45,90.00,90.00,106
INTSDOW17434,20170410,88.70,88.70,88.70,88.70,20
INTSDOW17434,20170411,90.85,93.75,90.85,93.75,221
INTSDOW17434,20170419,93.20,94.60,93.20,94.60,71
INTSDOW17434,20170420,96.20,96.20,96.20,96.20,100
INTSDOW17434,20170421,91.45,91.45,91.45,91.45,100
INTSDOW17434,20170424,84.50,84.50,81.45,81.45,154
INTSDOW17434,20170425,71.90,71.90,71.90,71.90,20
INTSDOW17434,20170426,71.70,72.25,71.70,71.70,31
INTSDOW17434,20170427,71.60,71.60,71.60,71.60,14
INTSDOW17434,20170508,71.25,71.25,71.25,71.25,20
INTSDOW17434,20170509,69.90,69.90,69.90,69.90,300
INTSDOW17434,20170510,75.50,75.50,75.50,75.50,9
INTSDOW17434,20170515,71.50,71.50,71.50,71.50,21
INTSDOW17434,20170518,82.80,82.80,82.80,82.80,10
INTSDOW17434,20170519,78.00,78.00,78.00,78.00,15
INTSDOW17434,20170522,72.85,72.85,72.85,72.85,130
INTSDOW17434,20170525,63.70,63.70,62.30,62.30,200
INTSDOW17434,20170526,63.15,63.15,63.15,63.15,10
INTSDOW17434,20170530,64.35,64.35,64.00,64.00,37
INTSDOW17434,20170602,57.50,57.90,56.15,57.30,133
INTSDOW17434,20170605,57.00,57.00,57.00,57.00,100
INTSDOW17434,20170606,58.15,59.00,58.15,59.00,109
INTSDOW17434,20170612,55.70,56.40,55.55,55.55,1080
INTSDOW17434,20170613,53.65,53.65,53.65,53.65,300
INTSDOW17434,20170614,51.30,51.30,50.50,50.50,127
INTSDOW17434,20170616,48.30,51.40,48.30,51.40,331
INTSDOW17434,20170619,45.00,46.10,45.00,46.10,172
INTSDOW17434,20170621,46.23,46.23,44.96,46.00,550
INTSDOW17434,20170622,47.33,47.33,47.00,47.00,310
INTSDOW17434,20170626,44.36,44.36,44.36,44.36,110
INTSDOW17434,20170628,49.17,49.17,49.17,49.17,2
INTSDOW17434,20170629,44.56,46.48,44.56,46.48,285
INTSDOW17434,20170630,50.00,50.00,49.06,49.06,300
INTSDOW17434,20170703,44.70,44.70,42.28,42.28,310
INTSDOW17434,20170704,44.04,44.04,42.90,43.17,202
INTSDOW17434,20170705,45.06,45.06,45.06,45.06,3
INTSDOW17434,20170706,45.00,47.28,45.00,47.28,110
INTSDOW17434,20170707,47.69,48.00,47.69,48.00,102
INTSDOW17434,20170710,43.65,44.90,43.65,44.90,70
INTSDOW17434,20170711,44.87,44.87,44.87,44.87,10
INTSDOW17434,20170712,41.75,41.75,40.13,40.13,200
INTSDOW17434,20170714,38.21,39.02,38.00,39.02,940
INTSDOW17434,20170717,35.51,35.51,35.51,35.51,100
INTSDOW17434,20170719,38.36,38.36,36.45,37.49,252
INTSDOW17434,20170720,35.32,35.32,35.32,35.32,100
INTSDOW17434,20170721,36.65,38.87,36.57,38.87,35
