Name,Date,Open,High,Low,Close,Volume
INTSEUC01271,20131211,55.66,55.66,55.66,55.66,1
INTSEUC01271,20140506,49.19,49.19,49.19,49.19,1
INTSEUC01271,20150115,127.40,127.40,127.40,127.40,7
INTSEUC01271,20150116,133.40,133.40,133.40,133.40,7
INTSEUC01271,20150119,142.90,142.90,136.75,136.75,30
INTSEUC01271,20150122,143.90,143.90,143.90,143.90,30
INTSEUC01271,20150813,83.15,83.15,83.15,83.15,120
INTSEUC01271,20150819,87.30,87.30,87.30,87.30,120
INTSEUC01271,20160615,73.60,73.60,73.60,73.60,25
INTSEUC01271,20160624,75.00,75.00,75.00,75.00,25
INTSEUC01271,20170421,59.50,60.60,59.50,60.55,326
INTSEUC01271,20170424,54.95,54.95,54.70,54.70,195
INTSEUC01271,20170719,41.25,41.25,41.25,41.25,12
