Name,Date,Open,High,Low,Close,Volume
INTSEUD07138,20150119,47.06,47.06,46.57,46.57,77
INTSEUD07138,20150122,45.53,45.53,45.53,45.53,6
INTSEUD07138,20150123,60.95,60.95,60.56,60.56,47
INTSEUD07138,20150126,60.91,60.91,60.91,60.91,88
INTSEUD07138,20150127,53.00,53.00,53.00,53.00,88
INTSEUD07138,20150211,56.00,56.00,56.00,56.00,30
INTSEUD07138,20150311,84.32,84.32,84.32,84.32,20
INTSEUD07138,20150312,86.00,86.00,86.00,86.00,61
INTSEUD07138,20150316,87.28,87.28,87.28,87.28,45
INTSEUD07138,20150323,72.39,72.39,69.07,69.07,9
INTSEUD07138,20150325,67.16,67.16,67.16,67.16,23
INTSEUD07138,20150428,66.20,66.20,66.20,66.20,9
INTSEUD07138,20150505,59.93,59.93,59.93,59.93,49
INTSEUD07138,20150508,55.85,55.85,55.85,55.85,10
INTSEUD07138,20150512,53.44,53.44,53.44,53.44,10
INTSEUD07138,20150513,50.32,50.32,50.32,50.32,49
INTSEUD07138,20150520,57.50,57.50,57.14,57.14,20
INTSEUD07138,20150526,68.08,68.08,68.08,68.08,9
INTSEUD07138,20150826,45.42,45.42,45.42,45.42,35
INTSEUD07138,20150828,49.49,49.49,49.49,49.49,35
INTSEUD07138,20150901,49.85,49.85,49.85,49.85,15
INTSEUD07138,20150904,55.40,55.40,55.40,55.40,15
INTSEUD07138,20150911,48.15,48.15,48.15,48.15,15
INTSEUD07138,20150918,41.00,41.00,41.00,41.00,16
INTSEUD07138,20150921,46.45,46.45,46.45,46.45,31
INTSEUD07138,20160115,61.21,61.21,61.21,61.21,220
INTSEUD07138,20160118,62.45,62.45,62.45,62.45,220
INTSEUD07138,20160210,45.70,45.70,45.70,45.70,4
INTSEUD07138,20160217,49.80,49.80,49.80,49.80,4
INTSEUD07138,20160310,51.95,51.95,51.95,51.95,12
INTSEUD07138,20160321,41.90,41.90,41.90,41.90,17
INTSEUD07138,20160323,45.00,45.00,45.00,45.00,42
INTSEUD07138,20160401,36.55,36.55,36.55,36.55,7
INTSEUD07138,20160420,37.11,37.11,37.11,37.11,6
INTSEUD07138,20160426,38.50,38.50,38.50,38.50,8
INTSEUD07138,20160502,32.80,32.80,30.45,30.45,1000
INTSEUD07138,20160601,44.56,44.56,44.56,44.56,50
INTSEUD07138,20160603,36.93,36.93,36.93,36.93,108
INTSEUD07138,20160608,33.40,33.40,33.40,33.40,40
INTSEUD07138,20160609,35.30,35.30,35.30,35.30,40
INTSEUD07138,20160620,36.80,37.00,36.00,36.35,736
INTSEUD07138,20160621,37.00,38.59,37.00,38.59,778
INTSEUD07138,20160622,38.75,38.75,36.70,36.70,250
INTSEUD07138,20160623,34.55,34.55,34.20,34.20,100
INTSEUD07138,20160624,48.05,49.60,44.13,49.60,658
INTSEUD07138,20160627,48.70,52.65,48.70,52.65,132
INTSEUD07138,20160630,45.66,45.66,45.66,45.66,300
INTSEUD07138,20160805,46.00,46.00,44.84,44.84,56
INTSEUD07138,20160818,34.70,34.70,34.70,34.70,115
INTSEUD07138,20160907,36.55,36.55,36.55,36.55,115
INTSEUD07138,20160908,35.10,35.10,33.30,33.30,60
INTSEUD07138,20160919,40.38,40.38,40.38,40.38,75
INTSEUD07138,20161020,44.70,44.70,44.70,44.70,32
INTSEUD07138,20161107,42.89,42.89,42.89,42.89,100
INTSEUD07138,20161109,40.19,40.19,40.19,40.19,75
INTSEUD07138,20161114,55.60,55.60,55.60,55.60,100
INTSEUD07138,20161121,62.65,62.65,62.65,62.65,150
INTSEUD07138,20161208,55.10,55.10,55.10,55.10,100
INTSEUD07138,20161220,73.90,73.90,73.90,73.90,150
INTSEUD07138,20161229,68.70,68.70,68.70,68.70,100
INTSEUD07138,20170105,63.00,63.00,63.00,63.00,500
INTSEUD07138,20170109,64.20,64.20,64.20,64.20,500
INTSEUD07138,20170112,59.70,59.70,59.70,59.70,150
INTSEUD07138,20170208,58.10,58.10,58.10,58.10,25
INTSEUD07138,20170213,59.40,59.40,59.40,59.40,25
INTSEUD07138,20170223,61.15,61.15,61.15,61.15,75
INTSEUD07138,20170316,53.45,53.45,53.45,53.45,75
INTSEUD07138,20170518,32.64,32.64,32.64,32.64,70
INTSEUD07138,20170519,32.86,32.86,32.86,32.86,70
INTSEUD07138,20170522,27.50,27.50,27.50,27.50,177
INTSEUD07138,20170525,29.11,29.11,29.11,29.11,690
INTSEUD07138,20170616,31.08,31.08,31.08,31.08,177
INTSEUD07138,20170627,26.97,26.97,26.97,26.97,690
INTSEUD07138,20170629,20.91,20.91,20.91,20.91,180
INTSEUD07138,20170703,20.94,22.42,20.94,22.26,1798
INTSEUD07138,20170704,22.58,22.62,22.58,22.62,300
INTSEUD07138,20170705,23.51,24.06,23.51,24.06,423
INTSEUD07138,20170706,23.19,23.19,21.26,21.26,1046
INTSEUD07138,20170707,20.25,20.65,19.59,19.59,850
INTSEUD07138,20170710,21.08,21.56,20.65,21.56,1300
INTSEUD07138,20170712,18.00,20.27,17.80,20.11,3500
INTSEUD07138,20170713,19.65,21.00,19.65,21.00,1100
INTSEUD07138,20170717,18.30,19.26,17.63,17.63,2140
INTSEUD07138,20170718,15.81,15.95,14.00,14.00,1530
INTSEUD07138,20170719,15.49,15.49,15.49,15.49,30
INTSEUD07138,20170720,17.10,17.10,17.10,17.10,90
