Name,Date,Open,High,Low,Close,Volume
INTSEUR17707,20170210,17.08,17.08,17.08,17.08,100
INTSEUR17707,20170213,16.90,16.90,16.90,16.90,176
INTSEUR17707,20170217,16.00,16.00,16.00,16.00,50
INTSEUR17707,20170221,16.38,16.38,16.38,16.38,50
INTSEUR17707,20170301,17.53,17.53,17.53,17.53,100
INTSEUR17707,20170303,15.74,15.74,15.74,15.74,100
INTSEUR17707,20170309,14.79,14.79,14.79,14.79,176
INTSEUR17707,20170316,16.51,16.70,16.51,16.70,180
INTSEUR17707,20170321,18.93,19.83,18.93,19.83,200
INTSEUR17707,20170322,18.03,18.20,18.03,18.20,200
INTSEUR17707,20170323,19.03,19.03,19.03,19.03,100
INTSEUR17707,20170324,19.52,19.52,19.02,19.02,200
INTSEUR17707,20170327,19.93,20.73,19.38,20.73,180
INTSEUR17707,20170329,22.50,22.50,22.33,22.33,180
INTSEUR17707,20170330,22.93,22.93,22.93,22.93,5
INTSEUR17707,20170331,22.88,22.88,22.88,22.88,5
INTSEUR17707,20170404,20.94,20.94,20.94,20.94,49
INTSEUR17707,20170405,20.95,20.95,20.58,20.58,140
INTSEUR17707,20170407,22.84,23.61,22.84,23.61,101
INTSEUR17707,20170410,22.89,22.89,22.89,22.89,23
INTSEUR17707,20170411,21.51,21.51,21.51,21.51,75
