Name,Date,Open,High,Low,Close,Volume
INTSGBU18556,20170515,49.31,49.31,49.31,49.31,25
INTSGBU18556,20170516,50.45,50.45,50.45,50.45,25
INTSGBU18556,20170517,48.76,48.76,48.76,48.76,22
INTSGBU18556,20170519,45.05,45.05,45.05,45.05,18
INTSGBU18556,20170526,49.73,49.73,49.73,49.73,40
INTSGBU18556,20170609,55.90,55.90,54.00,54.00,300
INTSGBU18556,20170612,55.60,55.60,55.60,55.60,300
INTSGBU18556,20170613,56.60,56.60,56.60,56.60,18
INTSGBU18556,20170619,53.05,53.05,53.05,53.05,18
INTSGBU18556,20170628,46.30,46.30,46.30,46.30,26
INTSGBU18556,20170630,43.76,43.76,43.76,43.76,21
INTSGBU18556,20170703,46.47,46.47,46.47,46.47,47
INTSGBU18556,20170714,44.98,44.98,43.82,43.82,41
INTSGBU18556,20170720,45.62,45.62,45.62,45.62,41
