Name,Date,Open,High,Low,Close,Volume
INTSGLD15917,20161018,53.65,53.65,53.65,53.65,40
INTSGLD15917,20161019,49.94,51.20,49.94,51.20,65
INTSGLD15917,20161020,52.65,52.65,52.65,52.65,100
INTSGLD15917,20161024,51.80,51.80,51.80,51.80,25
INTSGLD15917,20161026,49.02,49.02,49.02,49.02,100
INTSGLD15917,20161028,53.35,53.35,53.35,53.35,10
INTSGLD15917,20161031,47.41,47.41,47.41,47.41,10
INTSGLD15917,20161103,38.63,38.63,38.63,38.63,100
INTSGLD15917,20161104,36.91,37.03,34.70,35.97,340
INTSGLD15917,20161107,42.49,43.15,42.49,43.15,502
INTSGLD15917,20161108,45.31,45.31,42.59,42.59,50
INTSGLD15917,20161109,38.20,38.20,37.47,37.47,100
INTSGLD15917,20161110,42.64,51.45,42.61,51.45,252
INTSGLD15917,20161114,70.90,71.45,70.60,70.60,225
INTSGLD15917,20161118,79.80,79.80,78.15,78.15,32
INTSGLD15917,20161123,81.45,89.00,81.45,89.00,80
INTSGLD15917,20161128,84.10,84.10,84.10,84.10,30
INTSGLD15917,20161202,90.50,90.50,90.50,90.50,25
INTSGLD15917,20161205,98.40,98.40,98.40,98.40,20
INTSGLD15917,20161206,92.00,92.00,92.00,92.00,35
INTSGLD15917,20161208,88.75,88.75,88.75,88.75,2
INTSGLD15917,20161215,112.50,112.50,111.10,111.10,27
INTSGLD15917,20161219,105.80,105.80,105.80,105.80,25
INTSGLD15917,20161220,111.00,111.00,111.00,111.00,20
INTSGLD15917,20170103,102.70,102.70,102.70,102.70,40
INTSGLD15917,20170105,89.40,89.40,87.00,87.00,65
INTSGLD15917,20170112,75.25,75.25,75.25,75.25,12
INTSGLD15917,20170119,77.20,77.20,77.20,77.20,50
INTSGLD15917,20170120,74.65,75.70,74.65,75.70,3
INTSGLD15917,20170125,73.55,73.55,73.55,73.55,50
INTSGLD15917,20170126,77.20,77.20,77.20,77.20,260
INTSGLD15917,20170201,70.95,70.95,70.95,70.95,65
INTSGLD15917,20170209,57.50,57.50,57.50,57.50,2
INTSGLD15917,20170216,59.40,59.40,59.40,59.40,1
INTSGLD15917,20170220,60.85,60.85,60.85,60.85,1
INTSGLD15917,20170223,59.70,59.70,59.70,59.70,3
INTSGLD15917,20170308,69.65,69.65,69.65,69.65,2
INTSGLD15917,20170310,75.35,76.50,75.35,75.60,155
INTSGLD15917,20170316,63.55,63.55,61.40,61.40,32
INTSGLD15917,20170322,52.95,53.05,52.90,52.90,4
INTSGLD15917,20170323,52.65,52.65,52.65,52.65,8
INTSGLD15917,20170324,54.55,54.55,54.20,54.20,96
INTSGLD15917,20170327,48.55,48.55,48.55,48.55,31
INTSGLD15917,20170330,51.45,51.45,51.45,51.45,10
INTSGLD15917,20170331,54.90,54.90,54.90,54.90,28
INTSGLD15917,20170404,48.40,49.24,48.40,49.24,17
INTSGLD15917,20170405,50.00,50.80,50.00,50.80,30
INTSGLD15917,20170411,48.64,48.64,48.64,48.64,18
INTSGLD15917,20170412,41.90,41.90,41.79,41.79,52
INTSGLD15917,20170418,37.45,37.45,37.45,37.45,100
INTSGLD15917,20170420,39.35,39.35,39.35,39.35,100
INTSGLD15917,20170424,41.50,41.50,40.86,40.86,140
INTSGLD15917,20170426,44.59,44.59,44.59,44.59,15
INTSGLD15917,20170427,43.50,43.50,43.50,43.50,100
INTSGLD15917,20170502,46.90,46.90,46.90,46.90,37
INTSGLD15917,20170504,58.10,58.10,58.10,58.10,100
INTSGLD15917,20170505,55.95,57.00,55.05,56.35,188
INTSGLD15917,20170509,57.40,60.50,57.40,60.50,40
INTSGLD15917,20170510,59.10,59.10,59.10,59.10,40
INTSGLD15917,20170511,58.85,58.85,58.85,58.85,28
INTSGLD15917,20170515,55.55,55.55,55.55,55.55,15
INTSGLD15917,20170519,47.43,47.43,47.43,47.43,50
INTSGLD15917,20170526,40.21,40.21,40.21,40.21,50
INTSGLD15917,20170601,40.00,40.00,40.00,40.00,50
INTSGLD15917,20170602,36.90,36.90,36.90,36.90,50
INTSGLD15917,20170605,34.82,34.82,34.82,34.82,25
INTSGLD15917,20170606,31.20,31.20,31.20,31.20,75
INTSGLD15917,20170607,30.42,30.55,30.10,30.10,336
INTSGLD15917,20170608,33.89,37.00,33.89,37.00,66
INTSGLD15917,20170609,37.80,37.80,37.74,37.74,110
INTSGLD15917,20170612,40.19,40.19,39.93,39.93,112
INTSGLD15917,20170613,40.70,40.95,40.70,40.95,20
INTSGLD15917,20170614,36.20,36.20,36.20,36.20,12
INTSGLD15917,20170616,44.60,44.83,44.60,44.83,32
INTSGLD15917,20170619,46.19,46.90,45.00,46.90,162
INTSGLD15917,20170621,47.63,47.63,47.63,47.63,100
INTSGLD15917,20170630,48.03,48.03,46.96,47.39,123
INTSGLD15917,20170703,50.80,55.05,50.80,55.05,90
INTSGLD15917,20170704,54.65,54.65,54.40,54.55,58
INTSGLD15917,20170705,56.10,56.70,55.50,56.70,123
INTSGLD15917,20170710,59.15,59.85,59.15,59.85,38
INTSGLD15917,20170711,59.25,59.25,59.25,59.25,55
INTSGLD15917,20170717,51.05,51.05,51.05,51.05,8
INTSGLD15917,20170718,48.28,48.28,46.37,46.37,360
