Name,Date,Open,High,Low,Close,Volume
INTSHSC08516,20150512,24.60,24.60,24.60,24.60,82
INTSHSC08516,20150519,22.04,22.04,22.04,22.04,82
INTSHSC08516,20150723,31.77,31.77,31.77,31.77,60
INTSHSC08516,20150728,34.70,34.70,34.70,34.70,60
INTSHSC08516,20150804,36.75,36.75,36.75,36.75,32
INTSHSC08516,20150806,37.58,37.58,37.58,37.58,50
INTSHSC08516,20150810,35.31,35.31,35.31,35.31,50
INTSHSC08516,20150821,44.91,45.44,44.91,45.44,81
INTSHSC08516,20150824,50.29,50.29,50.29,50.29,20
INTSHSC08516,20150825,47.42,47.53,44.22,44.87,305
INTSHSC08516,20150826,50.20,50.20,50.00,50.00,124
INTSHSC08516,20150827,46.60,46.60,46.60,46.60,68
INTSHSC08516,20150901,53.04,53.04,53.04,53.04,75
INTSHSC08516,20150909,45.51,45.51,45.51,45.51,75
INTSHSC08516,20160119,60.27,60.27,60.27,60.27,20
INTSHSC08516,20160120,65.00,65.00,65.00,65.00,44
INTSHSC08516,20160506,52.80,52.80,52.80,52.80,30
INTSHSC08516,20160517,52.10,52.10,52.10,52.10,30
INTSHSC08516,20170322,24.22,24.22,24.22,24.22,40
INTSHSC08516,20170420,24.90,24.90,24.90,24.90,20
INTSHSC08516,20170523,16.28,16.28,16.28,16.28,10
INTSHSC08516,20170526,14.69,14.69,14.69,14.69,10
INTSHSC08516,20170531,14.35,14.35,14.33,14.33,1300
INTSHSC08516,20170602,12.65,12.65,12.65,12.65,1320
INTSHSC08516,20170609,12.57,12.57,12.24,12.24,1400
INTSHSC08516,20170612,13.06,13.06,13.06,13.06,1300
INTSHSC08516,20170626,12.43,12.43,11.93,11.93,30
INTSHSC08516,20170705,13.34,13.34,13.34,13.34,23
INTSHSC08516,20170706,12.96,12.96,12.96,12.96,23
INTSHSC08516,20170717,7.91,7.91,7.91,7.91,9
