Name,Date,Open,High,Low,Close,Volume
INTSKGH17988,20170302,34.53,34.53,34.53,34.53,99
INTSKGH17988,20170306,37.50,39.00,37.49,39.00,20329
INTSKGH17988,20170307,42.83,44.33,42.83,44.13,807
INTSKGH17988,20170308,41.98,43.18,41.98,43.18,577
INTSKGH17988,20170309,46.56,47.02,46.56,47.02,912
INTSKGH17988,20170310,45.41,45.41,44.56,44.56,100
INTSKGH17988,20170313,42.51,42.51,41.43,41.43,10590
INTSKGH17988,20170314,39.97,42.12,39.67,40.82,9891
INTSKGH17988,20170315,38.06,40.36,38.06,40.36,63
INTSKGH17988,20170316,36.71,36.71,36.71,36.71,95
INTSKGH17988,20170320,39.12,39.12,39.12,39.12,30
INTSKGH17988,20170321,37.56,41.06,37.56,41.06,195
INTSKGH17988,20170322,44.45,44.45,42.85,42.85,200
INTSKGH17988,20170406,36.00,36.00,36.00,36.00,42
INTSKGH17988,20170407,36.22,36.22,36.22,36.22,95
INTSKGH17988,20170410,36.55,37.00,36.55,37.00,96
INTSKGH17988,20170411,38.29,41.34,38.29,41.34,92
INTSKGH17988,20170412,39.88,41.88,39.88,41.88,332
INTSKGH17988,20170413,43.17,43.17,43.17,43.17,146
INTSKGH17988,20170419,43.57,43.57,43.57,43.57,55
INTSKGH17988,20170424,41.68,41.68,41.68,41.68,62
INTSKGH17988,20170425,39.96,39.96,39.96,39.96,62
INTSKGH17988,20170427,40.35,40.55,40.35,40.55,188
INTSKGH17988,20170504,44.09,46.19,44.09,46.04,60
INTSKGH17988,20170509,50.60,50.60,50.60,50.60,15
INTSKGH17988,20170511,47.68,47.68,47.52,47.68,228
INTSKGH17988,20170518,52.00,52.00,51.50,51.50,64
INTSKGH17988,20170525,50.70,50.70,50.10,50.10,64
INTSKGH17988,20170526,49.30,52.20,49.30,52.20,113
INTSKGH17988,20170606,53.65,53.65,53.65,53.65,15
INTSKGH17988,20170608,54.15,54.15,51.80,51.80,60
INTSKGH17988,20170609,49.03,49.03,49.03,49.03,15
INTSKGH17988,20170612,49.85,52.00,49.85,52.00,30
INTSKGH17988,20170619,53.00,53.00,53.00,53.00,15
INTSKGH17988,20170620,55.35,55.85,55.35,55.85,30
INTSKGH17988,20170621,57.00,57.00,55.10,55.10,415
INTSKGH17988,20170622,54.05,54.05,54.05,54.05,400
INTSKGH17988,20170623,52.95,53.05,52.95,53.05,41
INTSKGH17988,20170710,55.00,55.00,55.00,55.00,15
INTSKGH17988,20170712,52.30,52.30,50.60,50.60,30
INTSKGH17988,20170713,48.44,48.44,48.44,48.44,15
INTSKGH17988,20170717,45.25,45.25,43.00,43.00,40
INTSKGH17988,20170718,41.30,41.30,41.30,41.30,15
INTSKGH17988,20170719,40.83,40.83,40.83,40.83,28
