Name,Date,Open,High,Low,Close,Volume
INTSNDX18721,20170517,20.20,21.38,20.20,21.38,933
INTSNDX18721,20170518,24.26,24.26,23.68,23.68,280
INTSNDX18721,20170525,16.81,17.53,16.25,16.25,22670
INTSNDX18721,20170526,16.16,16.56,15.43,15.43,942
INTSNDX18721,20170529,15.66,15.66,15.66,15.66,10
INTSNDX18721,20170530,15.89,15.89,15.50,15.50,480
INTSNDX18721,20170531,15.00,16.35,14.75,16.35,147
INTSNDX18721,20170601,15.19,16.09,15.19,16.09,70
INTSNDX18721,20170602,13.98,13.98,13.10,13.10,170
INTSNDX18721,20170605,11.75,12.43,11.75,12.24,1490
INTSNDX18721,20170606,12.55,12.55,11.75,11.75,200
INTSNDX18721,20170609,11.62,11.62,11.51,11.51,350
INTSNDX18721,20170612,18.04,20.00,18.02,19.96,1978
INTSNDX18721,20170613,17.34,17.97,16.70,16.70,104
INTSNDX18721,20170616,17.89,19.86,17.89,19.86,115
INTSNDX18721,20170619,17.85,17.85,17.85,17.85,30
INTSNDX18721,20170621,18.41,18.41,17.36,17.36,115
INTSNDX18721,20170622,15.54,15.57,15.20,15.20,109
INTSNDX18721,20170626,14.14,14.14,13.34,13.51,2780
INTSNDX18721,20170627,16.00,17.00,15.88,16.59,2305
INTSNDX18721,20170628,19.39,19.85,17.92,17.99,1238
INTSNDX18721,20170629,16.47,17.06,16.47,17.06,55
INTSNDX18721,20170630,20.53,20.90,19.51,19.51,335
INTSNDX18721,20170704,22.48,22.48,21.60,21.60,139
INTSNDX18721,20170705,22.78,22.90,22.10,22.10,81
INTSNDX18721,20170706,21.30,22.70,21.30,22.70,100
INTSNDX18721,20170707,21.00,21.04,20.64,20.64,20
INTSNDX18721,20170711,18.84,18.86,18.84,18.85,343
INTSNDX18721,20170712,17.47,17.47,15.25,15.98,561
INTSNDX18721,20170713,14.47,14.47,14.29,14.29,173
INTSNDX18721,20170717,12.49,12.49,12.49,12.49,6
INTSNDX18721,20170719,10.59,10.59,10.45,10.45,8
INTSNDX18721,20170720,9.81,10.34,9.38,10.34,121
INTSNDX18721,20170721,9.50,9.50,9.50,9.50,300
