Name,Date,Open,High,Low,Close,Volume
INTSNKX07971,20150520,98.80,98.80,98.80,98.80,10
INTSNKX07971,20150521,99.37,99.37,99.37,99.37,10
INTSNKX07971,20150526,91.55,91.55,91.55,91.55,10
INTSNKX07971,20150529,88.36,88.36,88.36,88.36,15
INTSNKX07971,20150602,86.66,86.66,86.66,86.66,15
INTSNKX07971,20150609,100.00,100.00,100.00,100.00,30
INTSNKX07971,20150619,95.10,95.10,94.14,94.14,100
INTSNKX07971,20150625,77.87,77.87,77.87,77.87,38
INTSNKX07971,20150629,95.00,95.00,95.00,95.00,38
INTSNKX07971,20150824,155.09,155.09,155.09,155.09,5
INTSNKX07971,20151211,134.60,134.60,134.60,134.60,20
INTSNKX07971,20151215,134.06,134.06,134.06,134.06,20
INTSNKX07971,20160113,170.80,170.80,170.80,170.80,5
INTSNKX07971,20160203,188.00,188.00,188.00,188.00,10
INTSNKX07971,20160210,226.30,226.30,226.30,226.30,10
INTSNKX07971,20161124,122.80,122.80,122.80,122.80,3
INTSNKX07971,20161125,126.00,126.00,126.00,126.00,25
INTSNKX07971,20161128,126.80,126.80,126.80,126.80,18
INTSNKX07971,20161205,120.10,120.10,120.10,120.10,43
INTSNKX07971,20170104,72.70,72.70,72.70,72.70,1
INTSNKX07971,20170112,89.60,89.60,89.60,89.60,1
INTSNKX07971,20170117,104.30,105.50,103.20,105.50,105
INTSNKX07971,20170119,88.90,88.90,88.90,88.90,30
INTSNKX07971,20170126,73.70,73.70,73.70,73.70,75
INTSNKX07971,20170201,83.30,83.30,83.30,83.30,2
INTSNKX07971,20170202,90.65,90.65,90.65,90.65,2
INTSNKX07971,20170224,86.10,86.10,86.10,86.10,19
INTSNKX07971,20170309,73.90,73.90,73.90,73.90,2
INTSNKX07971,20170314,64.70,64.70,64.70,64.70,2
INTSNKX07971,20170316,68.25,68.25,68.25,68.25,2
INTSNKX07971,20170321,69.40,69.40,69.40,69.40,2
INTSNKX07971,20170323,87.10,87.10,84.35,84.35,150
INTSNKX07971,20170324,79.35,79.35,79.35,79.35,110
INTSNKX07971,20170403,81.85,81.85,81.85,81.85,11
INTSNKX07971,20170406,90.00,90.00,90.00,90.00,19
INTSNKX07971,20170407,90.80,93.45,90.80,92.95,44
INTSNKX07971,20170419,100.70,100.70,100.70,100.70,11
INTSNKX07971,20170424,81.85,81.85,81.85,81.85,20
INTSNKX07971,20170428,71.50,71.50,71.50,71.50,2
INTSNKX07971,20170505,57.55,57.55,57.55,57.55,12
INTSNKX07971,20170508,47.37,47.37,47.37,47.37,2
INTSNKX07971,20170512,47.58,47.58,47.58,47.58,12
INTSNKX07971,20170517,51.60,51.60,51.60,51.60,2
INTSNKX07971,20170524,49.59,49.59,49.59,49.59,2
INTSNKX07971,20170526,51.20,51.20,51.20,51.20,2
INTSNKX07971,20170530,51.80,51.80,51.00,51.10,810
INTSNKX07971,20170601,44.72,44.72,41.92,41.92,1002
INTSNKX07971,20170602,31.45,36.39,31.45,36.39,220
INTSNKX07971,20170605,33.29,33.29,33.29,33.29,10
INTSNKX07971,20170608,40.49,40.49,40.49,40.49,100
INTSNKX07971,20170609,38.20,38.43,38.10,38.10,1500
INTSNKX07971,20170612,44.41,44.41,44.28,44.28,1350
INTSNKX07971,20170621,34.08,34.25,34.08,34.25,2950
INTSNKX07971,20170717,32.61,32.61,32.61,32.61,2
