Name,Date,Open,High,Low,Close,Volume
INTSPEO18051,20170403,30.37,30.37,30.37,30.37,57
INTSPEO18051,20170413,31.93,31.93,31.93,31.93,57
INTSPEO18051,20170418,29.00,29.00,29.00,29.00,15
INTSPEO18051,20170419,28.00,28.00,27.00,27.00,27
INTSPEO18051,20170420,28.70,28.70,28.70,28.70,21
INTSPEO18051,20170421,31.50,31.50,31.50,31.50,21
INTSPEO18051,20170605,28.36,28.36,28.36,28.36,200
INTSPEO18051,20170608,29.70,29.70,29.70,29.70,66
INTSPEO18051,20170609,30.23,31.03,30.23,31.03,190
INTSPEO18051,20170614,34.43,34.50,33.38,34.50,326
INTSPEO18051,20170616,32.86,32.86,32.86,32.86,120
INTSPEO18051,20170620,32.05,32.05,32.05,32.05,120
INTSPEO18051,20170622,33.23,33.23,33.23,33.23,200
INTSPEO18051,20170711,28.69,28.69,28.69,28.69,79
INTSPEO18051,20170717,24.24,24.24,23.14,23.34,121
