Name,Date,Open,High,Low,Close,Volume
INTSPGE10827,20150925,4.10,4.10,4.10,4.10,400
INTSPGE10827,20150929,4.57,4.57,4.57,4.57,400
INTSPGE10827,20151012,3.22,3.22,3.22,3.22,1500
INTSPGE10827,20151013,3.30,3.30,3.30,3.30,2000
INTSPGE10827,20151014,3.40,3.40,3.40,3.40,1500
INTSPGE10827,20151015,3.37,3.37,3.37,3.37,2000
INTSPGE10827,20151027,3.77,3.77,3.55,3.55,3000
INTSPGE10827,20151028,3.51,3.55,3.51,3.55,2000
INTSPGE10827,20151030,3.87,3.87,3.51,3.51,7000
INTSPGE10827,20151102,3.45,3.45,3.45,3.45,2000
INTSPGE10827,20151103,3.39,3.39,3.39,3.39,2000
INTSPGE10827,20151104,3.20,3.20,3.20,3.20,1000
INTSPGE10827,20151106,3.45,3.45,3.45,3.45,1000
INTSPGE10827,20151109,3.61,3.61,3.46,3.46,14000
INTSPGE10827,20151112,2.53,2.53,2.53,2.53,2000
INTSPGE10827,20151113,2.72,2.72,2.72,2.72,2000
INTSPGE10827,20151119,3.15,3.20,3.15,3.20,4000
INTSPGE10827,20151120,3.35,3.35,3.35,3.35,1000
INTSPGE10827,20151123,3.67,3.67,3.67,3.67,5000
INTSPGE10827,20151126,4.00,4.00,4.00,4.00,1000
INTSPGE10827,20151130,4.22,4.22,4.22,4.22,1000
INTSPGE10827,20160108,5.74,5.74,5.74,5.74,87
INTSPGE10827,20160112,5.38,5.38,5.38,5.38,87
INTSPGE10827,20160129,4.20,4.20,4.20,4.20,350
INTSPGE10827,20160302,5.25,5.25,5.25,5.25,520
INTSPGE10827,20160303,4.98,4.98,4.98,4.98,520
INTSPGE10827,20160405,4.22,4.22,4.22,4.22,1500
INTSPGE10827,20160411,4.23,4.23,4.23,4.23,1500
INTSPGE10827,20160520,5.67,5.67,5.67,5.67,450
INTSPGE10827,20160530,4.77,4.77,4.77,4.77,450
INTSPGE10827,20160628,5.81,5.81,5.81,5.81,350
INTSPGE10827,20161012,7.24,7.24,7.24,7.24,620
INTSPGE10827,20161014,7.35,7.35,7.35,7.35,620
