Name,Date,Open,High,Low,Close,Volume
INTSPKN18325,20170403,28.73,28.73,28.73,28.73,15
INTSPKN18325,20170404,25.94,25.97,25.87,25.97,202
INTSPKN18325,20170406,30.08,30.08,30.08,30.08,115
INTSPKN18325,20170418,22.35,22.35,22.35,22.35,70
INTSPKN18325,20170420,22.30,22.30,21.20,21.20,400
INTSPKN18325,20170421,21.00,21.00,21.00,21.00,50
INTSPKN18325,20170424,17.37,17.52,15.70,15.70,184
INTSPKN18325,20170425,15.25,15.25,14.92,14.92,118
INTSPKN18325,20170426,13.56,13.56,10.94,12.14,349
INTSPKN18325,20170427,13.80,17.65,13.80,17.65,641
INTSPKN18325,20170504,14.58,16.68,13.68,16.68,340
INTSPKN18325,20170508,13.40,13.40,13.40,13.40,50
INTSPKN18325,20170509,13.82,15.15,13.82,15.15,1200
INTSPKN18325,20170511,19.50,19.75,19.50,19.75,303
INTSPKN18325,20170512,20.00,20.40,19.28,19.28,260
INTSPKN18325,20170515,18.47,18.47,18.47,18.47,200
INTSPKN18325,20170516,23.20,23.65,23.20,23.55,470
INTSPKN18325,20170517,26.27,26.85,26.27,26.56,312
INTSPKN18325,20170518,26.98,26.98,26.98,26.98,9
INTSPKN18325,20170524,28.61,28.61,28.25,28.25,105
INTSPKN18325,20170525,25.68,25.68,25.68,25.68,36
INTSPKN18325,20170526,26.89,26.89,26.89,26.89,38
INTSPKN18325,20170531,25.14,25.14,24.19,24.19,107
INTSPKN18325,20170601,28.15,28.15,28.15,28.15,54
INTSPKN18325,20170602,26.73,27.25,26.73,27.25,74
INTSPKN18325,20170605,29.53,29.98,29.53,29.98,370
INTSPKN18325,20170606,26.10,26.30,25.85,25.85,408
INTSPKN18325,20170607,23.49,23.49,23.49,23.49,18
INTSPKN18325,20170608,20.96,20.96,20.96,20.96,20
INTSPKN18325,20170612,21.98,22.63,21.78,22.63,10146
INTSPKN18325,20170613,22.05,23.60,22.05,23.12,10232
INTSPKN18325,20170614,20.94,20.94,20.31,20.31,1611
INTSPKN18325,20170616,20.37,20.37,19.39,19.74,229
INTSPKN18325,20170620,14.87,15.37,14.87,15.22,13106
INTSPKN18325,20170621,16.76,16.76,14.26,14.26,5620
INTSPKN18325,20170622,14.20,15.63,14.20,15.63,12620
INTSPKN18325,20170623,15.29,16.09,15.19,15.19,200
INTSPKN18325,20170626,15.91,16.00,15.91,16.00,200
INTSPKN18325,20170627,20.00,20.00,19.75,19.77,6030
INTSPKN18325,20170628,21.29,21.29,21.29,21.29,110
INTSPKN18325,20170703,22.14,22.77,22.14,22.77,135
INTSPKN18325,20170704,22.72,22.72,22.72,22.72,200
INTSPKN18325,20170705,22.18,22.18,20.31,21.23,511
INTSPKN18325,20170706,21.80,21.80,21.80,21.80,166
INTSPKN18325,20170707,22.21,22.21,22.21,22.21,200
INTSPKN18325,20170711,22.08,22.08,22.08,22.08,69
INTSPKN18325,20170712,19.90,19.90,19.90,19.90,200
INTSPKN18325,20170717,17.84,17.84,17.84,17.84,30
INTSPKN18325,20170718,17.08,18.68,17.08,18.68,600
INTSPKN18325,20170719,19.36,19.36,18.96,18.96,630
