Name,Date,Open,High,Low,Close,Volume
INTSPKO05447,20140805,6.62,6.95,6.52,6.52,26593
INTSPKO05447,20140806,6.70,6.70,6.42,6.42,10695
INTSPKO05447,20140807,6.27,6.80,6.27,6.53,3500
INTSPKO05447,20140812,6.77,6.82,6.52,6.52,6460
INTSPKO05447,20140813,6.35,6.55,6.35,6.55,6300
INTSPKO05447,20140819,4.17,4.17,3.60,4.07,30530
INTSPKO05447,20140821,4.28,4.28,4.24,4.26,15000
INTSPKO05447,20140822,5.04,5.15,4.46,4.46,4381
INTSPKO05447,20140825,4.37,4.52,4.37,4.40,16749
INTSPKO05447,20140828,5.09,5.09,5.09,5.09,88
INTSPKO05447,20140901,4.95,4.95,4.95,4.95,420
INTSPKO05447,20140905,3.15,3.15,3.15,3.15,500
INTSPKO05447,20140911,3.51,3.51,3.51,3.51,920
INTSPKO05447,20140926,4.68,4.68,4.68,4.68,220
INTSPKO05447,20140929,3.21,3.27,3.21,3.27,308
INTSPKO05447,20141003,3.95,3.95,3.95,3.95,88
INTSPKO05447,20141008,5.00,5.00,5.00,5.00,220
INTSPKO05447,20141114,6.67,6.67,5.77,5.77,612
INTSPKO05447,20141124,5.63,5.63,5.63,5.63,141
INTSPKO05447,20141125,5.80,5.80,5.80,5.80,141
INTSPKO05447,20141210,5.67,5.67,5.67,5.67,174
INTSPKO05447,20141211,5.61,5.93,5.48,5.49,8654
INTSPKO05447,20141212,5.87,6.13,5.74,6.13,3750
INTSPKO05447,20141215,6.10,6.30,5.87,6.30,2306
INTSPKO05447,20141216,7.17,7.36,6.91,7.24,1500
INTSPKO05447,20141217,6.97,6.97,6.70,6.70,600
INTSPKO05447,20141218,6.42,6.42,6.42,6.42,80
INTSPKO05447,20141229,7.50,7.50,7.50,7.50,600
INTSPKO05447,20141230,7.49,7.49,7.49,7.49,260
INTSPKO05447,20150108,6.24,6.24,6.10,6.10,460
INTSPKO05447,20150113,6.23,6.23,5.72,5.72,400
INTSPKO05447,20150115,8.35,8.35,7.92,7.92,208
INTSPKO05447,20150121,9.96,9.96,9.73,9.73,1000
INTSPKO05447,20150122,9.20,9.20,9.20,9.20,215
INTSPKO05447,20150126,10.30,10.30,10.30,10.30,100
INTSPKO05447,20150127,9.70,9.70,9.70,9.70,100
INTSPKO05447,20150128,9.10,9.10,8.53,8.53,715
INTSPKO05447,20150129,8.48,8.48,8.48,8.48,500
INTSPKO05447,20150224,9.73,9.74,9.69,9.74,291
INTSPKO05447,20150227,10.00,10.00,10.00,10.00,100
INTSPKO05447,20150303,9.91,9.91,9.91,9.91,91
INTSPKO05447,20150304,10.53,10.53,9.20,9.20,300
INTSPKO05447,20150305,8.45,8.45,8.15,8.15,900
INTSPKO05447,20150306,8.03,8.03,8.03,8.03,700
INTSPKO05447,20150316,8.01,8.01,7.84,7.84,2400
INTSPKO05447,20150319,7.20,7.20,7.13,7.13,400
INTSPKO05447,20150325,7.81,7.81,7.81,7.81,200
INTSPKO05447,20150326,8.65,8.86,8.53,8.86,2000
INTSPKO05447,20150330,8.63,8.76,8.63,8.76,700
INTSPKO05447,20150410,8.45,8.45,8.45,8.45,250
INTSPKO05447,20150414,8.41,8.41,8.41,8.41,1250
INTSPKO05447,20150415,7.76,7.76,7.26,7.26,750
INTSPKO05447,20150416,6.56,6.56,6.56,6.56,1500
INTSPKO05447,20150417,6.29,6.29,6.29,6.29,500
INTSPKO05447,20150422,6.09,6.09,6.09,6.09,1500
INTSPKO05447,20150427,6.90,6.90,6.90,6.90,146
INTSPKO05447,20150428,6.27,6.27,6.27,6.27,146
INTSPKO05447,20150504,5.91,5.91,5.91,5.91,165
INTSPKO05447,20150506,5.66,5.66,5.66,5.66,250
INTSPKO05447,20150507,5.10,5.10,5.10,5.10,250
INTSPKO05447,20150508,4.48,4.48,4.48,4.48,3000
INTSPKO05447,20150512,5.20,5.20,5.20,5.20,250
INTSPKO05447,20150513,5.73,6.83,5.73,6.83,1238
INTSPKO05447,20150514,6.88,6.88,6.60,6.60,473
INTSPKO05447,20150515,6.97,6.97,6.97,6.97,1000
INTSPKO05447,20150519,6.58,6.58,6.58,6.58,400
INTSPKO05447,20150525,8.32,8.32,8.32,8.32,41
INTSPKO05447,20150526,9.18,9.18,9.18,9.18,500
INTSPKO05447,20150527,9.17,9.17,9.17,9.17,41
INTSPKO05447,20150601,9.43,9.43,9.43,9.43,500
INTSPKO05447,20150602,9.50,9.50,9.50,9.50,150
INTSPKO05447,20150605,10.00,10.00,10.00,10.00,150
INTSPKO05447,20150707,11.98,11.98,11.98,11.98,20
INTSPKO05447,20150715,11.34,11.34,11.34,11.34,20
