Name,Date,Open,High,Low,Close,Volume
INTSPZU06338,20141204,13.64,13.64,13.64,13.64,50
INTSPZU06338,20141205,13.89,13.89,13.71,13.71,200
INTSPZU06338,20141208,13.74,13.74,13.74,13.74,100
INTSPZU06338,20141209,13.65,13.68,13.65,13.68,650
INTSPZU06338,20141210,13.60,13.60,13.60,13.60,200
INTSPZU06338,20141215,13.80,13.80,13.80,13.80,200
INTSPZU06338,20141216,13.77,14.48,13.77,13.97,1600
INTSPZU06338,20141217,14.30,14.60,14.30,14.60,1108
INTSPZU06338,20141218,14.38,14.38,14.38,14.38,100
INTSPZU06338,20141219,14.17,14.17,14.17,14.17,200
INTSPZU06338,20141222,13.61,13.61,13.49,13.49,200
INTSPZU06338,20141223,13.00,13.00,13.00,13.00,100
INTSPZU06338,20150105,13.80,13.80,13.80,13.80,100
INTSPZU06338,20150107,12.90,12.90,12.77,12.77,590
INTSPZU06338,20150112,12.76,12.76,12.76,12.76,390
INTSPZU06338,20150122,12.60,12.60,12.10,12.10,200
INTSPZU06338,20150306,13.85,13.90,13.85,13.90,400
INTSPZU06338,20150310,14.15,14.15,14.15,14.15,100
INTSPZU06338,20150311,14.22,14.22,14.22,14.22,100
INTSPZU06338,20150312,14.48,14.48,14.48,14.48,100
INTSPZU06338,20150325,12.40,12.40,12.40,12.40,100
INTSPZU06338,20150417,11.00,11.00,11.00,11.00,8
INTSPZU06338,20150514,12.89,12.89,12.89,12.89,100
INTSPZU06338,20150713,15.47,15.47,15.47,15.47,1
INTSPZU06338,20150727,19.50,19.50,19.50,19.50,1
INTSPZU06338,20150820,18.97,18.97,18.97,18.97,100
INTSPZU06338,20150824,20.35,20.35,20.35,20.35,100
INTSPZU06338,20160311,20.90,20.90,20.88,20.88,950
INTSPZU06338,20160331,21.53,21.53,21.42,21.42,900
INTSPZU06338,20160401,21.67,21.76,21.67,21.76,900
INTSPZU06338,20160406,21.76,21.76,21.76,21.76,900
INTSPZU06338,20160407,21.51,21.51,21.33,21.33,900
INTSPZU06338,20160411,21.73,21.73,21.73,21.73,500
INTSPZU06338,20160412,21.75,21.75,21.75,21.75,500
INTSPZU06338,20160428,22.70,22.70,22.70,22.70,950
INTSPZU06338,20160616,27.31,27.70,27.26,27.70,8413
INTSPZU06338,20160617,27.31,27.31,27.31,27.31,205
INTSPZU06338,20160620,27.01,27.10,26.54,26.54,1365
INTSPZU06338,20160621,26.11,26.34,25.87,25.87,4352
INTSPZU06338,20160622,25.49,25.84,25.49,25.84,118
INTSPZU06338,20160623,25.64,25.64,25.44,25.44,235
INTSPZU06338,20160624,28.25,28.25,27.57,27.75,3960
INTSPZU06338,20160913,29.00,29.00,29.00,29.00,220
INTSPZU06338,20170309,17.70,18.44,17.70,18.44,200
INTSPZU06338,20170310,17.17,17.17,17.17,17.17,200
INTSPZU06338,20170403,18.50,18.50,18.50,18.50,500
INTSPZU06338,20170406,17.16,17.16,17.16,17.16,500
INTSPZU06338,20170412,15.89,15.89,15.89,15.89,625
INTSPZU06338,20170419,15.20,15.20,15.20,15.20,50
INTSPZU06338,20170424,14.23,14.23,14.23,14.23,55
INTSPZU06338,20170426,12.55,12.55,11.95,11.95,750
INTSPZU06338,20170427,10.80,10.80,10.80,10.80,140
INTSPZU06338,20170502,10.26,10.26,9.29,9.38,4120
INTSPZU06338,20170504,9.70,9.70,9.70,9.70,160
INTSPZU06338,20170510,8.32,8.34,8.32,8.34,2000
INTSPZU06338,20170511,8.86,8.86,8.86,8.86,260
INTSPZU06338,20170512,8.93,8.93,8.93,8.93,100
INTSPZU06338,20170516,8.32,8.37,8.32,8.37,2144
INTSPZU06338,20170517,8.14,8.86,7.45,8.86,6788
INTSPZU06338,20170518,8.65,9.94,8.65,9.40,5448
INTSPZU06338,20170519,9.14,9.14,7.39,7.47,5483
INTSPZU06338,20170522,7.20,7.70,6.85,6.91,5004
INTSPZU06338,20170523,6.92,6.92,6.57,6.90,2842
INTSPZU06338,20170524,7.20,7.20,7.20,7.20,100
INTSPZU06338,20170525,6.50,6.50,6.50,6.50,1174
