Name,Date,Open,High,Low,Close,Volume
INTSSLV18770,20170512,10.15,10.15,10.15,10.15,1485
INTSSLV18770,20170515,9.49,9.49,8.62,8.98,1838
INTSSLV18770,20170516,8.80,8.86,8.80,8.86,1528
INTSSLV18770,20170517,8.01,8.14,8.01,8.14,1368
INTSSLV18770,20170518,9.01,9.01,9.01,9.01,38
INTSSLV18770,20170523,6.67,6.67,6.67,6.67,1700
INTSSLV18770,20170524,7.51,7.51,7.51,7.51,1700
INTSSLV18770,20170526,6.41,6.43,6.41,6.43,2300
INTSSLV18770,20170530,6.43,6.43,6.43,6.43,2150
INTSSLV18770,20170601,6.64,7.58,6.64,7.58,500
INTSSLV18770,20170602,7.16,7.16,6.02,6.20,5050
INTSSLV18770,20170606,5.08,5.25,5.00,5.25,560
INTSSLV18770,20170608,6.07,6.29,6.07,6.29,760
INTSSLV18770,20170609,6.51,6.91,6.31,6.91,2096
INTSSLV18770,20170612,7.20,7.58,7.20,7.58,2970
INTSSLV18770,20170613,7.97,8.57,7.97,8.57,700
INTSSLV18770,20170614,7.60,7.60,6.45,6.58,3366
INTSSLV18770,20170616,8.32,8.50,8.32,8.50,670
INTSSLV18770,20170619,9.10,9.20,8.60,9.20,570
INTSSLV18770,20170620,9.75,9.81,9.75,9.81,350
INTSSLV18770,20170621,9.54,9.60,9.54,9.60,550
INTSSLV18770,20170630,9.17,9.17,8.98,8.98,117
INTSSLV18770,20170704,10.80,10.80,10.80,10.80,155
INTSSLV18770,20170705,11.53,11.53,11.09,11.50,246
INTSSLV18770,20170706,11.22,11.22,11.22,11.22,185
INTSSLV18770,20170707,11.74,12.42,11.74,12.23,354
INTSSLV18770,20170710,13.80,13.82,13.50,13.50,888
INTSSLV18770,20170711,12.95,13.01,12.36,12.56,1530
INTSSLV18770,20170712,11.73,11.73,11.10,11.25,2170
INTSSLV18770,20170717,10.74,10.74,10.14,10.14,190
