Name,Date,Open,High,Low,Close,Volume
INTSSP517921,20170224,15.20,15.20,15.20,15.20,35
INTSSP517921,20170227,14.87,14.87,14.87,14.87,10
INTSSP517921,20170303,14.45,14.45,14.45,14.45,1000
INTSSP517921,20170306,14.53,14.53,14.53,14.53,1000
INTSSP517921,20170307,14.45,14.45,14.45,14.45,500
INTSSP517921,20170308,14.64,14.64,14.55,14.55,73
INTSSP517921,20170309,14.89,14.89,14.89,14.89,500
INTSSP517921,20170310,14.38,14.38,14.09,14.25,683
INTSSP517921,20170313,14.21,14.21,14.21,14.21,1000
INTSSP517921,20170314,14.74,14.74,14.56,14.56,1000
INTSSP517921,20170315,14.33,14.33,14.33,14.33,300
INTSSP517921,20170316,13.19,13.77,13.19,13.77,1600
INTSSP517921,20170317,13.65,13.65,13.65,13.65,350
INTSSP517921,20170320,13.79,13.79,13.71,13.71,1140
INTSSP517921,20170321,14.09,14.50,14.09,14.46,1370
INTSSP517921,20170322,15.11,15.11,14.52,14.56,3567
INTSSP517921,20170327,15.33,15.33,15.31,15.31,2100
INTSSP517921,20170328,14.64,14.64,14.64,14.64,67
INTSSP517921,20170330,14.15,14.15,13.93,13.93,2700
INTSSP517921,20170403,14.03,14.03,14.03,14.03,500
INTSSP517921,20170404,14.38,14.38,14.38,14.38,1000
INTSSP517921,20170406,14.25,14.25,14.25,14.25,500
INTSSP517921,20170407,14.24,14.24,14.24,14.24,500
INTSSP517921,20170410,14.27,14.27,14.27,14.27,40
INTSSP517921,20170413,14.74,14.94,14.74,14.94,1040
INTSSP517921,20170421,13.95,13.95,13.95,13.95,20
INTSSP517921,20170425,12.88,12.88,12.34,12.34,720
INTSSP517921,20170426,12.31,12.31,12.31,12.31,67
INTSSP517921,20170427,12.50,12.51,12.50,12.51,2000
INTSSP517921,20170505,11.89,11.89,11.89,11.89,800
INTSSP517921,20170508,11.92,11.92,11.92,11.92,25
INTSSP517921,20170509,11.83,11.83,11.83,11.83,1000
INTSSP517921,20170511,12.46,12.46,12.46,12.46,283
INTSSP517921,20170512,12.17,12.17,12.17,12.17,1200
INTSSP517921,20170517,12.25,12.25,12.25,12.25,106
INTSSP517921,20170518,12.95,12.95,12.93,12.93,200
INTSSP517921,20170526,10.68,10.68,10.55,10.55,291
INTSSP517921,20170530,10.70,10.70,10.70,10.70,235
INTSSP517921,20170531,10.49,10.49,10.49,10.49,235
INTSSP517921,20170602,9.83,9.85,9.74,9.74,759
INTSSP517921,20170605,9.70,9.70,9.70,9.70,150
INTSSP517921,20170606,9.90,9.90,9.90,9.90,127
INTSSP517921,20170612,10.00,10.00,10.00,10.00,150
INTSSP517921,20170613,9.61,9.61,9.61,9.61,20
INTSSP517921,20170614,9.35,9.36,9.22,9.35,234
INTSSP517921,20170619,9.09,9.09,9.09,9.09,100
INTSSP517921,20170620,9.00,9.00,8.99,8.99,850
INTSSP517921,20170621,9.75,9.75,9.75,9.75,50
INTSSP517921,20170622,9.72,9.72,9.72,9.72,233
INTSSP517921,20170626,9.10,9.10,9.09,9.09,433
INTSSP517921,20170628,9.61,9.61,9.29,9.29,1600
INTSSP517921,20170629,8.85,9.40,8.85,9.40,290
INTSSP517921,20170630,9.82,9.82,9.60,9.60,1051
INTSSP517921,20170705,9.76,9.76,9.76,9.76,369
INTSSP517921,20170706,9.81,9.81,9.81,9.81,150
INTSSP517921,20170707,9.95,9.95,9.78,9.78,400
INTSSP517921,20170710,9.42,9.52,9.42,9.52,960
INTSSP517921,20170712,9.10,9.10,8.80,8.80,700
INTSSP517921,20170713,8.70,8.70,8.70,8.70,100
INTSSP517921,20170714,8.59,8.59,8.47,8.47,2250
INTSSP517921,20170717,8.11,8.19,8.08,8.19,400
INTSSP517921,20170718,8.00,8.00,8.00,8.00,1000
INTSSP517921,20170719,8.00,8.00,7.79,7.79,110
INTSSP517921,20170720,7.35,7.63,7.35,7.63,3600
INTSSP517921,20170721,7.62,7.78,7.62,7.78,2481
