Name,Date,Open,High,Low,Close,Volume
INTSSPX17855,20170216,10.71,10.71,10.71,10.71,20
INTSSPX17855,20170217,10.45,10.65,10.43,10.54,323
INTSSPX17855,20170221,10.02,10.02,10.02,10.02,50
INTSSPX17855,20170222,9.80,9.80,9.80,9.80,250
INTSSPX17855,20170224,9.74,10.04,9.70,10.04,1300
INTSSPX17855,20170227,9.24,9.62,9.24,9.62,690
INTSSPX17855,20170228,9.41,9.50,9.41,9.50,65
INTSSPX17855,20170301,9.20,9.20,9.20,9.20,200
INTSSPX17855,20170302,8.42,8.46,8.40,8.40,842
INTSSPX17855,20170303,9.10,9.10,8.90,8.90,610
INTSSPX17855,20170309,9.41,9.41,9.19,9.19,1620
INTSSPX17855,20170310,8.90,8.90,8.90,8.90,240
INTSSPX17855,20170313,8.90,8.90,8.90,8.90,352
INTSSPX17855,20170314,9.16,9.16,9.16,9.16,300
INTSSPX17855,20170316,8.11,8.11,7.94,7.94,210
INTSSPX17855,20170322,9.84,9.89,9.40,9.40,3100
INTSSPX17855,20170323,9.54,9.58,9.24,9.24,760
INTSSPX17855,20170324,9.45,9.46,9.45,9.46,470
INTSSPX17855,20170327,10.15,10.27,10.15,10.23,670
INTSSPX17855,20170328,9.53,9.53,9.48,9.48,1050
INTSSPX17855,20170329,8.89,9.11,8.88,9.11,1902
INTSSPX17855,20170330,8.73,8.73,8.68,8.72,2695
INTSSPX17855,20170331,8.88,8.88,8.68,8.68,195
INTSSPX17855,20170403,8.87,9.02,8.87,9.02,100
INTSSPX17855,20170404,9.13,9.22,9.12,9.19,2712
INTSSPX17855,20170405,8.67,8.67,8.14,8.14,480
INTSSPX17855,20170407,9.18,9.18,9.07,9.07,953
INTSSPX17855,20170411,9.06,9.19,9.06,9.19,335
INTSSPX17855,20170412,8.97,8.97,8.97,8.97,180
INTSSPX17855,20170413,9.60,9.60,9.60,9.60,481
INTSSPX17855,20170418,9.45,9.45,9.45,9.45,15
INTSSPX17855,20170419,9.33,9.33,9.23,9.23,400
INTSSPX17855,20170421,8.86,9.08,8.86,9.08,460
INTSSPX17855,20170424,8.08,8.10,7.92,7.92,900
INTSSPX17855,20170425,7.73,7.73,7.43,7.43,422
INTSSPX17855,20170426,7.36,7.41,7.25,7.25,1292
INTSSPX17855,20170502,7.31,7.31,7.31,7.31,1000
INTSSPX17855,20170505,7.34,7.34,7.14,7.14,53
INTSSPX17855,20170508,6.84,6.84,6.84,6.84,11
INTSSPX17855,20170510,7.14,7.14,7.10,7.10,2676
INTSSPX17855,20170511,7.32,7.43,7.32,7.33,142
INTSSPX17855,20170515,6.82,6.82,6.82,6.82,233
INTSSPX17855,20170516,6.59,6.67,6.47,6.67,461
INTSSPX17855,20170517,7.15,7.38,7.15,7.38,2050
INTSSPX17855,20170518,7.67,8.39,7.67,7.93,3795
INTSSPX17855,20170519,7.26,7.26,7.16,7.16,520
INTSSPX17855,20170522,7.08,7.08,6.78,6.82,3150
INTSSPX17855,20170523,6.51,6.51,6.51,6.51,2000
INTSSPX17855,20170524,6.36,6.36,6.36,6.36,13
INTSSPX17855,20170525,5.82,6.06,5.77,5.77,1315
INTSSPX17855,20170526,5.87,5.98,5.87,5.98,40
INTSSPX17855,20170529,5.68,5.68,5.68,5.68,435
INTSSPX17855,20170530,5.92,5.97,5.72,5.97,485
INTSSPX17855,20170531,5.84,6.08,5.64,6.08,70
INTSSPX17855,20170602,4.82,5.18,4.82,5.18,2150
INTSSPX17855,20170606,4.90,4.90,4.90,4.90,200
INTSSPX17855,20170607,4.83,5.00,4.83,5.00,1540
INTSSPX17855,20170609,4.31,4.31,4.31,4.31,2500
INTSSPX17855,20170612,5.00,5.20,5.00,5.20,525
INTSSPX17855,20170613,4.72,4.72,4.72,4.72,500
INTSSPX17855,20170616,4.95,5.03,4.95,5.03,325
INTSSPX17855,20170619,4.41,4.41,3.97,3.97,204
INTSSPX17855,20170620,3.92,4.26,3.92,4.26,326
INTSSPX17855,20170621,4.70,4.70,4.58,4.58,36
INTSSPX17855,20170622,4.74,4.74,4.74,4.74,100
INTSSPX17855,20170626,4.30,4.30,4.10,4.10,1900
INTSSPX17855,20170627,4.39,4.39,4.39,4.39,400
INTSSPX17855,20170628,5.02,5.02,4.56,4.56,3674
INTSSPX17855,20170629,4.13,4.36,4.13,4.36,212
INTSSPX17855,20170630,5.00,5.00,4.83,4.83,525
INTSSPX17855,20170703,4.48,4.48,4.39,4.39,15131
INTSSPX17855,20170704,4.76,4.76,4.47,4.47,15539
INTSSPX17855,20170706,4.91,5.06,4.91,5.06,1450
INTSSPX17855,20170707,5.12,5.17,5.12,5.17,4100
INTSSPX17855,20170711,4.49,4.49,4.49,4.49,194
INTSSPX17855,20170713,3.82,3.82,3.82,3.82,224
INTSSPX17855,20170714,3.66,3.66,3.66,3.66,1400
INTSSPX17855,20170717,3.35,3.35,3.20,3.20,2787
INTSSPX17855,20170719,3.13,3.13,2.94,2.94,633
INTSSPX17855,20170720,2.65,2.65,2.65,2.65,940
