Name,Date,Open,High,Low,Close,Volume
INTSUSD18887,20170602,21.81,21.81,21.04,21.04,60
INTSUSD18887,20170607,21.26,21.47,21.26,21.47,50
INTSUSD18887,20170609,20.48,20.48,19.75,19.75,50
INTSUSD18887,20170614,22.62,22.62,22.60,22.60,100
INTSUSD18887,20170616,16.39,18.46,16.39,18.46,454
INTSUSD18887,20170619,17.53,17.53,16.96,17.00,846
INTSUSD18887,20170621,13.46,13.46,13.46,13.46,82
INTSUSD18887,20170622,13.92,13.92,13.92,13.92,82
INTSUSD18887,20170627,20.41,20.41,20.41,20.41,6
INTSUSD18887,20170628,21.42,21.90,21.42,21.90,174
INTSUSD18887,20170629,22.74,23.09,22.52,23.00,430
INTSUSD18887,20170630,23.82,24.35,23.64,24.35,225
INTSUSD18887,20170704,19.66,19.66,19.66,19.66,78
INTSUSD18887,20170705,19.00,19.00,19.00,19.00,7
INTSUSD18887,20170712,23.73,23.73,22.60,22.60,462
INTSUSD18887,20170713,22.68,22.88,22.68,22.88,200
INTSUSD18887,20170714,23.83,25.60,23.83,25.60,160
INTSUSD18887,20170718,29.10,30.65,29.00,30.65,40
INTSUSD18887,20170719,27.95,27.95,27.95,27.95,42
