Name,Date,Open,High,Low,Close,Volume
INTSUSJ17509,20170119,21.85,21.85,21.85,21.85,4
INTSUSJ17509,20170123,27.05,27.05,26.55,26.55,104
INTSUSJ17509,20170125,25.39,25.39,25.39,25.39,100
INTSUSJ17509,20170127,20.46,20.46,20.46,20.46,4
INTSUSJ17509,20170130,22.38,22.42,22.38,22.42,64
INTSUSJ17509,20170131,24.53,27.20,24.53,27.20,85
INTSUSJ17509,20170201,26.00,26.00,24.00,24.00,149
INTSUSJ17509,20170202,29.90,29.90,29.26,29.80,124
INTSUSJ17509,20170208,32.03,32.84,32.03,32.84,150
INTSUSJ17509,20170209,27.80,27.80,27.11,27.11,150
INTSUSJ17509,20170308,21.11,21.11,21.11,21.11,72
INTSUSJ17509,20170309,21.17,21.17,21.17,21.17,4
INTSUSJ17509,20170314,18.90,18.90,18.90,18.90,5
INTSUSJ17509,20170316,25.01,25.01,25.01,25.01,9
INTSUSJ17509,20170321,27.01,27.01,27.01,27.01,72
INTSUSJ17509,20170322,32.48,33.30,31.84,33.30,510
INTSUSJ17509,20170323,33.08,33.08,33.08,33.08,50
INTSUSJ17509,20170324,33.03,33.03,33.03,33.03,30
INTSUSJ17509,20170328,33.56,33.56,33.56,33.56,30
INTSUSJ17509,20170511,20.33,20.33,20.33,20.33,40
INTSUSJ17509,20170512,20.31,20.31,20.31,20.31,40
INTSUSJ17509,20170712,19.00,19.00,19.00,19.00,10
INTSUSJ17509,20170714,21.25,21.25,21.25,21.25,10
INTSUSJ17509,20170717,21.46,21.95,21.46,21.95,54
INTSUSJ17509,20170718,22.17,22.17,22.17,22.17,22
INTSUSJ17509,20170719,22.33,22.33,22.33,22.33,22
INTSUSJ17509,20170721,23.52,25.64,23.52,25.64,72
