Name,Date,Open,High,Low,Close,Volume
INTSUSJ18135,20170323,24.35,24.38,24.27,24.38,400
INTSUSJ18135,20170504,16.45,16.45,16.45,16.45,47
INTSUSJ18135,20170509,10.99,10.99,10.99,10.99,47
INTSUSJ18135,20170510,12.75,12.75,12.25,12.25,95
INTSUSJ18135,20170511,10.86,12.14,10.72,12.14,145
INTSUSJ18135,20170512,12.51,14.31,12.51,14.31,280
INTSUSJ18135,20170515,13.15,13.81,12.61,12.61,951
INTSUSJ18135,20170517,16.88,17.00,16.54,17.00,211
INTSUSJ18135,20170518,21.06,21.06,21.06,21.06,30
INTSUSJ18135,20170519,20.26,20.26,20.26,20.26,4
INTSUSJ18135,20170522,20.30,20.30,20.30,20.30,7
INTSUSJ18135,20170525,18.00,18.00,18.00,18.00,30
INTSUSJ18135,20170526,21.37,21.37,20.15,20.15,101
INTSUSJ18135,20170530,21.29,21.40,21.29,21.40,51
INTSUSJ18135,20170601,20.41,20.41,19.54,19.79,132
INTSUSJ18135,20170602,19.11,21.30,19.11,21.30,34
INTSUSJ18135,20170605,22.38,22.38,22.38,22.38,7
INTSUSJ18135,20170607,27.04,27.04,25.39,25.39,110
INTSUSJ18135,20170609,23.10,23.24,21.98,21.98,120
INTSUSJ18135,20170612,23.11,24.11,23.11,24.11,26
INTSUSJ18135,20170614,23.51,26.48,23.51,26.48,26
INTSUSJ18135,20170616,20.09,20.09,20.09,20.09,4
INTSUSJ18135,20170620,18.37,18.42,18.37,18.42,46
INTSUSJ18135,20170622,20.51,20.51,20.51,20.51,4
INTSUSJ18135,20170623,19.61,19.61,19.61,19.61,41
INTSUSJ18135,20170626,17.57,17.57,17.57,17.57,83
INTSUSJ18135,20170627,16.42,16.42,16.42,16.42,5
INTSUSJ18135,20170704,12.32,12.32,12.32,12.32,6
