Name,Date,Open,High,Low,Close,Volume
INTSW2018689,20170511,1.28,1.50,1.28,1.50,1884
INTSW2018689,20170512,1.60,1.60,1.60,1.60,800
INTSW2018689,20170516,1.84,1.84,1.74,1.74,10000
INTSW2018689,20170517,1.85,2.07,1.85,2.07,8000
INTSW2018689,20170518,2.30,2.40,2.30,2.38,9096
INTSW2018689,20170519,2.15,2.15,2.15,2.15,800
INTSW2018689,20170522,1.89,2.08,1.89,2.08,6000
INTSW2018689,20170524,2.27,2.27,2.27,2.27,300
INTSW2018689,20170525,1.55,1.67,1.55,1.57,2294
INTSW2018689,20170526,1.76,1.81,1.76,1.81,4144
INTSW2018689,20170529,1.90,1.99,1.90,1.99,4750
INTSW2018689,20170530,2.20,2.22,2.20,2.22,1300
INTSW2018689,20170531,2.19,2.23,2.18,2.18,1300
INTSW2018689,20170602,2.20,2.20,2.20,2.20,3081
INTSW2018689,20170605,2.26,2.26,2.26,2.26,3081
INTSW2018689,20170608,1.78,1.78,1.78,1.78,106
INTSW2018689,20170609,1.64,1.64,1.64,1.64,1000
INTSW2018689,20170612,2.07,2.07,2.07,2.07,2938
INTSW2018689,20170613,2.10,2.10,2.10,2.10,2000
INTSW2018689,20170616,2.01,2.01,2.01,2.01,106
INTSW2018689,20170621,1.70,1.70,1.70,1.70,2938
INTSW2018689,20170626,1.63,1.63,1.50,1.50,5396
INTSW2018689,20170627,1.47,1.47,1.47,1.47,152
INTSW2018689,20170628,1.59,1.59,1.59,1.59,399
INTSW2018689,20170629,1.64,1.80,1.64,1.80,2699
INTSW2018689,20170630,1.92,1.95,1.92,1.95,3096
INTSW2018689,20170703,1.88,1.88,1.88,1.88,152
INTSW2018689,20170712,1.65,1.65,1.55,1.56,5985
INTSW2018689,20170713,1.38,1.42,1.34,1.34,870
INTSW2018689,20170714,1.35,1.37,1.35,1.37,415
INTSW2018689,20170717,1.02,1.13,0.99,1.12,11579
INTSW2018689,20170718,1.09,1.20,0.93,1.20,17573
INTSW2018689,20170719,1.07,1.07,1.00,1.00,2145
INTSW2018689,20170720,0.89,1.04,0.86,1.04,7265
INTSW2018689,20170721,1.32,1.32,1.23,1.28,3458
