Name,Date,Open,High,Low,Close,Volume
MAXCOM-PDA,20170630,52.95,56.00,52.90,54.00,29594
MAXCOM-PDA,20170703,53.11,55.89,51.20,55.89,6028
MAXCOM-PDA,20170704,54.11,56.00,54.11,56.00,3092
MAXCOM-PDA,20170705,55.00,56.15,54.66,55.85,558
MAXCOM-PDA,20170706,55.50,55.92,53.62,53.62,2176
MAXCOM-PDA,20170707,53.51,55.28,53.51,55.20,420
MAXCOM-PDA,20170710,53.50,54.50,53.50,54.50,165
MAXCOM-PDA,20170711,53.90,54.50,53.75,54.43,307
MAXCOM-PDA,20170712,54.00,54.50,54.00,54.50,652
MAXCOM-PDA,20170713,54.95,54.95,53.00,54.30,436
MAXCOM-PDA,20170714,54.10,54.10,53.02,53.90,143
MAXCOM-PDA,20170717,53.02,53.99,53.02,53.99,176
MAXCOM-PDA,20170718,54.27,59.59,54.27,57.55,18218
MAXCOM-PDA,20170719,58.85,58.85,57.60,58.80,1065
MAXCOM-PDA,20170720,59.70,59.70,58.30,58.50,1546
MAXCOM-PDA,20170721,58.50,59.58,56.90,59.00,2585
