Name,Date,Open,High,Low,Close,Volume
MAXCOM,20170630,56.15,58.00,55.00,56.00,1160
MAXCOM,20170703,56.90,56.90,54.50,55.85,1667
MAXCOM,20170704,55.85,57.45,55.85,57.45,54
MAXCOM,20170705,57.45,57.47,57.45,57.47,50
MAXCOM,20170706,57.45,57.45,57.45,57.45,20
MAXCOM,20170707,57.35,57.35,57.35,57.35,10
MAXCOM,20170710,56.25,56.25,56.25,56.25,2
MAXCOM,20170711,56.00,56.00,56.00,56.00,2
MAXCOM,20170712,56.00,56.00,56.00,56.00,2
MAXCOM,20170713,56.00,56.00,56.00,56.00,2
MAXCOM,20170714,56.00,56.70,55.00,56.70,24
MAXCOM,20170717,56.00,56.59,56.00,56.59,27
MAXCOM,20170718,56.95,61.95,56.95,59.00,4337
MAXCOM,20170719,59.00,59.98,58.85,59.00,1999
MAXCOM,20170720,59.10,59.98,58.75,59.00,6293
MAXCOM,20170721,59.84,60.07,56.95,59.00,10998
