Name,Date,Open,High,Low,Close,Volume
MORIZON-PDA,20170705,1.45,1.47,1.40,1.47,28373
MORIZON-PDA,20170706,1.49,1.49,1.37,1.41,18870
MORIZON-PDA,20170707,1.36,1.42,1.36,1.42,36739
MORIZON-PDA,20170710,1.45,1.48,1.37,1.48,23528
MORIZON-PDA,20170711,1.48,1.48,1.43,1.48,3330
MORIZON-PDA,20170712,1.48,1.48,1.40,1.46,65414
MORIZON-PDA,20170713,1.41,1.48,1.41,1.48,65050
MORIZON-PDA,20170714,1.40,1.46,1.37,1.46,3826
MORIZON-PDA,20170717,1.39,1.45,1.39,1.45,4030
MORIZON-PDA,20170718,1.38,1.45,1.38,1.38,1360
MORIZON-PDA,20170719,1.37,1.37,1.37,1.37,1740
MORIZON-PDA,20170720,1.37,1.40,1.36,1.40,15650
MORIZON-PDA,20170721,1.36,1.46,1.36,1.46,1688
