Name,Date,Open,High,Low,Close,Volume
PKOASZEWZ,20161007,100.50,100.50,99.00,99.00,700
PKOASZEWZ,20161017,100.80,100.80,99.80,99.80,200
PKOASZEWZ,20161118,99.20,99.20,99.20,99.20,2100
PKOASZEWZ,20161124,100.00,100.00,100.00,100.00,101
PKOASZEWZ,20161128,100.00,100.00,99.11,99.11,3799
PKOASZEWZ,20161202,100.00,100.00,100.00,100.00,50
PKOASZEWZ,20161219,98.50,98.50,98.50,98.50,50
PKOASZEWZ,20170113,98.51,98.51,98.51,98.51,195
PKOASZEWZ,20170117,98.51,98.51,97.00,97.00,3950
PKOASZEWZ,20170118,98.10,98.50,98.10,98.50,28
PKOASZEWZ,20170127,99.00,99.00,99.00,99.00,2500
PKOASZEWZ,20170203,98.10,98.10,98.10,98.10,11
PKOASZEWZ,20170206,98.00,98.60,98.00,98.60,2529
PKOASZEWZ,20170222,99.00,99.00,99.00,99.00,202
PKOASZEWZ,20170301,99.00,99.00,99.00,99.00,40
PKOASZEWZ,20170306,100.40,100.40,100.40,100.40,40
PKOASZEWZ,20170328,98.81,98.81,98.00,98.00,100
PKOASZEWZ,20170405,97.15,97.15,97.10,97.10,311
PKOASZEWZ,20170410,97.35,97.35,97.10,97.10,296
PKOASZEWZ,20170413,97.35,97.35,97.30,97.30,400
PKOASZEWZ,20170505,97.50,97.50,97.50,97.50,30
PKOASZEWZ,20170509,97.50,97.50,97.50,97.50,700
PKOASZEWZ,20170511,97.51,97.51,97.14,97.14,741
PKOASZEWZ,20170522,97.42,97.42,97.30,97.30,493
PKOASZEWZ,20170525,98.00,98.20,98.00,98.20,57
PKOASZEWZ,20170531,98.75,98.75,98.75,98.75,200
PKOASZEWZ,20170606,98.69,98.69,98.66,98.66,334
PKOASZEWZ,20170609,98.99,98.99,98.99,98.99,41
PKOASZEWZ,20170613,98.99,98.99,98.37,98.37,173
PKOASZEWZ,20170621,98.37,98.37,98.30,98.30,194
PKOASZEWZ,20170704,98.00,98.00,98.00,98.00,17
PKOASZEWZ,20170706,98.01,98.01,98.01,98.01,500
